"","Graduation_Year","Stated_Major","freq"
"115",2014,"Undisclosed",19
"87",2012,"Undisclosed",18
"100",2013,"Undisclosed",16
"131",2016,"Undecided",14
"123",2015,"Undecided",13
"22",2007,"Education",9
"89",2013,"Education",9
"57",2010,"Education",8
"69",2011,"Education",8
"124",2015,"Undisclosed",8
"33",2008,"Education",7
"45",2009,"Education",7
"80",2012,"Education",7
"132",2016,"Undisclosed",7
"67",2011,"Business Management",6
"34",2008,"General Business",5
"56",2010,"Economics",5
"77",2011,"Undisclosed",5
"39",2008,"Sports Management",4
"58",2010,"General Business",4
"78",2012,"Business Management",4
"99",2013,"Undecided",4
"102",2014,"Business Management",4
"105",2014,"Education",4
"114",2014,"Undecided",4
"12",2006,"Economics",3
"13",2006,"Education",3
"16",2006,"Marketing",3
"23",2007,"General Business",3
"28",2007,"Sociology",3
"38",2008,"Sociology",3
"43",2009,"Business Management",3
"44",2009,"Economics",3
"46",2009,"General Business",3
"51",2009,"Sports Management",3
"52",2009,"Undisclosed",3
"66",2010,"Undisclosed",3
"98",2013,"Sports Management",3
"109",2014,"General Business",3
"127",2016,"General Business",3
"4",2005,"General Business",2
"6",2005,"Political Science",2
"19",2007,"Business Management",2
"32",2008,"Economics",2
"37",2008,"Physical Education",2
"41",2008,"Undisclosed",2
"50",2009,"Sociology",2
"53",2010,"Broadcasting",2
"60",2010,"Marketing",2
"61",2010,"Physical Education",2
"64",2010,"Sports Management",2
"65",2010,"Undecided",2
"68",2011,"Economics",2
"71",2011,"Health Promotion",2
"73",2011,"Physical Education",2
"75",2011,"Sociology",2
"76",2011,"Sports Management",2
"79",2012,"Economics",2
"82",2012,"Health Promotion",2
"86",2012,"Undecided",2
"90",2013,"Excercise Science",2
"92",2013,"General Business",2
"106",2014,"Engineering",2
"117",2015,"Education",2
"121",2015,"Sociology",2
"125",2016,"Education",2
"126",2016,"Engineering",2
"129",2016,"Marketing",2
"130",2016,"Sports Management",2
"1",2004,"Education",1
"2",2005,"Economics",1
"3",2005,"Education",1
"5",2005,"Microbiology",1
"7",2005,"Secondary Education",1
"8",2005,"Sociology",1
"9",2006,"Agriculture Sciences",1
"10",2006,"Business Management",1
"11",2006,"Criminal Justice",1
"14",2006,"General Business",1
"15",2006,"Journalism",1
"17",2007,"Agricultural Business",1
"18",2007,"Art",1
"20",2007,"Criminal Justice",1
"21",2007,"Economics",1
"24",2007,"Health Promotion",1
"25",2007,"Marketing",1
"26",2007,"Physical Education",1
"27",2007,"Social Studies",1
"29",2007,"Undisclosed",1
"30",2008,"Agricultural Business",1
"31",2008,"Business Management",1
"35",2008,"International Business",1
"36",2008,"Marketing",1
"40",2008,"Undecided",1
"42",2009,"Biomedical Science",1
"47",2009,"Health Promotion",1
"48",2009,"Hotel Management",1
"49",2009,"Political Science",1
"54",2010,"Business Management",1
"55",2010,"Computer Science",1
"59",2010,"Geology",1
"62",2010,"Secondary Education",1
"63",2010,"Sociology",1
"70",2011,"General Business",1
"72",2011,"Marketing",1
"74",2011,"Psychology",1
"81",2012,"Entrepreneurship",1
"83",2012,"Marketing",1
"84",2012,"Pre-Medicine",1
"85",2012,"Secondary Education",1
"88",2013,"Broadcasting",1
"91",2013,"Finance",1
"93",2013,"Marketing",1
"94",2013,"Physical Education",1
"95",2013,"Pre-Medicine",1
"96",2013,"Psychology",1
"97",2013,"Sociology",1
"101",2014,"Agricultural Business",1
"103",2014,"Communications",1
"104",2014,"Economics",1
"107",2014,"Entrepreneurship",1
"108",2014,"Finance",1
"110",2014,"Marketing",1
"111",2014,"Psychology",1
"112",2014,"Sociology",1
"113",2014,"Sports Management",1
"116",2015,"Broadcasting",1
"118",2015,"Hotel Management",1
"119",2015,"Marketing",1
"120",2015,"Political Science",1
"122",2015,"Sports Management",1
"128",2016,"Geology",1
