Year,Franchise,Valuation,Investment,Perentage,Buyer,Notes
1922,Green Bay Packers,0.0000,0.00,,Earl Lambeau,$250 franchise fee
1923,Duluth Kellys,0.0010,0.00,,Gebert & Scanon,Expansion fee
1923,Green Bay Packers,0.0025,0.00,,GB Football Corporation,$2500 loan/buyout
1925,New York Giants,0.0025,0.00,,Tim Mara and Billy Gibson,Expansion fee (may have been $500).  Forbes 04 says $500.00
1926,Duluth Kellys,0.0000,1.00,,Ole Haugsrud,"Actually, $1; renamed Duluth Eskimos"
1928,Cleveland Indians,0.0100,0.01,,Detroit Syndicate,20 members; rename previous Detroit Panthers the Detroit Wolverines
1929,Minneapolis Red Jackets,0.0025,0.00,,Johnny Dunn & Val Ness,$2500 Expansion fee
1929,Chicago Cardinals,0.0125,0.01,,David Jones,
1929,Duluth Eskimos,0.0020,0.00,,Edwin Simandl,"moved to NJ, renamed Orange Tornadoes"
1931,Chicago Bears,0.0380,0.04,,George Halas,"Bought out old partner by generating $40,000 from six new partners; Halas nets $2,000 and holds 50% of the team."
1932,Chicago Cardinals,0.0500,0.05,,Charles Bidwell,
1932,Boston Braves,0.0075,0.01,,George Marshall/Syndicate,Expansion fee
1933,Frankford Yellow Jackets,0.0028,0.00,,Bert Bell & Lud Wray,$2800; renamed Phil. Eagles
1934,Portsmouth Spartans,0.0220,0.02,,George A. Richardson,incl. $6500 to pay off outstanding debt.  Moves to Detroit Lions
1934,Cincinnati Reds,0.0300,0.03,,Edward Butler,Bought from NFL after Reds went broke.
1935,Pittsburgh Pirates,0.0025,0.00,,Art Rooney & A. McCool,Expansion fee; $2500.  Forbes 04 says 1933.
1936,Philadelphia Eagles,0.0040,0.00,,Bert Bell,to 100%
1937,Cleveland Rams,0.0100,0.01,,Homer Marshman/Syndicate,Expansion fee
1940,Detroit Lions,0.2250,0.23,,Fred Mandel/Syndicate,
1940,Pittsburgh Pirates,0.1650,0.17,,Alex Thompson,Renamed Pittsbugh Steelers
1941,Philadelphia Eagles,0.1650,0.17,,Alex Thompson,"Just after buying Steelers for $165,000, trades them for Eagles"
1941,Cleveland Rams,0.1250,0.13,,Dan Reeves & Fred Levy/Syndicate,
1947,L.A. Rams,0.0000,0.00,,Four-Person Partnership,$1 each to share mounting losses but hope of profit
1948,Detroit Lions,0.1850,0.19,,DL Fife and Edwin Anderson/Syndicate,
1949,Philadelphia Eagles,0.2500,0.25,,James P. Clark/Syndicate,100 Phil. Businessmen
1950,Baltimore Colts,0.1500,0.15,,Robert Embry/Syndicate,The fee is for territory invasion for original NFL entry
1951,Baltimore Colts,0.0500,0.05,,NFL,Franchise forfeit; payment for player contracts
