"","CIP_Classificaiton","Year","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"62","Agriculture- Agriculture Operations and Related Sciences","1984-1985",909,41,8,3,2,249,9,2,14,7,3,1
"63","Agricultural Sciences","1984-1985",1118,84,17,5,6,597,20,9,15,8,8,6
"64","Natural Resources and Conservation","1984-1985",425,9,2,2,3,137,1,2,2,2,2,1
"65","Architecture and Related Services","1984-1985",1123,61,24,9,5,497,64,29,13,12,30,16
"66","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985",138,4,5,2,6,198,8,8,10,20,5,4
"67","Marketing and Distribution","1984-1985",481,16,5,7,2,363,13,17,10,27,1,1
"68","Communication- Journalism- and Related Programs","1984-1985",1998,25,36,21,47,3510,62,116,114,235,99,219
"69","Computer and Information Sciences and Support Services","1984-1985",1560,121,65,70,61,793,45,35,37,39,51,30
"70","Education","1984-1985",1722,53,27,12,21,5327,31,90,70,150,23,74
"71","Engineering","1984-1985",8340,920,72,431,109,1530,288,59,158,88,442,64
"72","Foreign Languages- Literatures- and Linguistics","1984-1985",296,5,25,3,18,701,29,40,11,26,16,31
"73","Health Sciences","1984-1985",830,9,31,20,66,2874,60,94,21,164,5,58
"74","Family and Consumer Sciences/Human Sciences","1984-1985",79,3,21,1,24,1614,4,21,7,60,4,23
"75","English language and literature/letters.","1984-1985",1014,8,21,16,20,1806,32,35,35,90,29,52
"76","Biological and Biomedical Sciences","1984-1985",1884,40,32,99,78,1368,98,66,67,65,73,54
"77","Mathematics and Statistics","1984-1985",646,44,28,54,50,470,14,10,31,34,15,13
"78","Parks- Recreation- Leisure and Fitness Studies","1984-1985",139,4,4,3,7,250,2,4,6,5,2,3
"79","Philosophy and Religious Studies","1984-1985",239,2,1,3,2,111,11,2,6,2,4,4
"80","Theology and religious vocations.","1984-1985",10,0,1,0,0,6,0,0,0,1,0,0
"81","Physical Sciences","1984-1985",1601,50,18,46,30,531,37,11,21,20,36,19
"82","Science Technologies","1984-1985",6,0,0,0,0,13,0,0,0,1,0,0
"83","Psychology","1984-1985",1052,14,27,24,45,1970,48,88,48,134,52,91
"84","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985",423,0,1,6,2,215,13,14,38,60,13,3
"85","Public administration and social service professions.","1984-1985",143,1,3,1,6,424,5,17,12,28,50,50
"86","Social Sciences and History","1984-1985",5389,110,59,80,82,3627,204,137,239,276,189,135
"87","Visual and performing arts.","1984-1985",1085,30,32,28,45,1692,32,47,51,40,58,110
"88","Health Professions and Related Programs","1984-1985",166,6,12,2,22,671,5,18,8,19,1,80
"89","Business- Management- Marketing- and Related Support Services","1984-1985",9632,334,191,144,160,7319,265,194,234,312,724,461
"90","Engineering Technologies and Engineering-related Fields","1984-1985",1092,32,5,36,8,94,26,4,39,10,46,6
"91","Legal professions and studies.","1984-1985",39,0,0,0,0,14,1,1,1,1,0,0
"92","Liberal arts and sciences- general studies and humanities.","1984-1985",566,9,7,5,7,570,8,20,25,42,6,23
"93","Multi/Interdisciplinary Studies","1984-1985",392,2,7,10,18,449,10,22,5,16,17,-9
"94","Mechanics and Repairers","1984-1985",22,9,0,1,0,0,0,0,0,0,0,0
"95","Precision Production Trades","1984-1985",1,0,0,0,0,2,1,0,0,0,0,0
"96","Transportation and materials moving.","1984-1985",43,1,0,1,1,6,0,0,1,0,0,0
"97","Library Science","1984-1985",1,0,0,0,0,4,0,0,0,0,0,0
"98","Communications Technologies/Technicians and Support Services","1984-1985",77,1,1,0,2,80,1,1,1,7,40,15
"99","Military Services","1984-1985",1,0,0,0,0,0,0,0,0,0,0,0
"155","Science Technologies","1986-1987",2,0,0,0,0,9,0,0,0,0,0,0
"157","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1986-1987",378,0,0,7,1,238,14,6,54,60,7,3
"169","Library Science","1986-1987",7,0,0,1,0,23,0,2,1,2,0,0
"228","Science Technologies","1988-1999",4,0,0,0,0,10,0,0,0,0,0,0
"237","Legal professions and studies.","1988-1999",17,0,0,0,0,17,2,1,1,2,0,0
"242","Library Science","1988-1999",0,0,0,0,0,2,0,0,0,0,0,0
"243","Theology and religious vocations.","1988-1999",1,0,0,1,0,5,0,0,0,0,0,0
"245","Military Services","1988-1999",1,1,0,0,0,0,0,0,0,0,0,0
"246","Agriculture- Agriculture Operations and Related Sciences","1989-1990",599,26,4,3,0,170,7,5,11,8,10,1
