"","CIPTitle","DBPediaCollege_Name","V1"
"1","Agriculture","Clemson University",241
"2","Agriculture","Kansas State University",415
"3","Agriculture","Louisiana State University",210
"4","Agriculture","Notre Dame University",10
"5","Agriculture","Ohio State University",470
"6","Agriculture","Oregon State University",216
"7","Agriculture","Rutgers University",99
"8","Agriculture","San Jose State University",9
"9","Agriculture","Texas A&amp;M University",992
"10","Agriculture","University of Florida",522
"11","Agriculture","University of Georgia",246
"12","Agriculture","University of Louisville",14
"13","Agriculture","University of Nebraska at Lincoln",233
"14","Agriculture","Utah State University",91
"15","Architecture","Clemson University",69
"16","Architecture","Kansas State University",4
"17","Architecture","Louisiana State University",85
"18","Architecture","Notre Dame University",42
"19","Architecture","Ohio State University",138
"20","Architecture","Rutgers University",31
"21","Architecture","Texas A&amp;M University",90
"22","Architecture","University of Florida",114
"23","Architecture","University of Georgia",65
"24","Architecture","University of Michigan",65
"25","Architecture","University of Nebraska at Lincoln",76
"26","Architecture","University of Oklahoma",31
"27","Architecture","University of Oregon",94
"28","Architecture","University of Texas at Austin",62
"29","Architecture","Utah State University",27
"30","Area, ethnic, and gender studies","Alabama University",12
"31","Area, ethnic, and gender studies","Boise State University",3
"32","Area, ethnic, and gender studies","Florida State University",24
"33","Area, ethnic, and gender studies","Kansas State University",11
"34","Area, ethnic, and gender studies","Louisiana State University",1
"35","Area, ethnic, and gender studies","Ohio State University",31
"36","Area, ethnic, and gender studies","Oregon State University",16
"37","Area, ethnic, and gender studies","Rutgers University",86
"38","Area, ethnic, and gender studies","San Jose State University",3
"39","Area, ethnic, and gender studies","Stanford University",42
"40","Area, ethnic, and gender studies","University of Florida",22
"41","Area, ethnic, and gender studies","University of Georgia",11
"42","Area, ethnic, and gender studies","University of Michigan",130
"43","Area, ethnic, and gender studies","University of Nebraska at Lincoln",14
"44","Area, ethnic, and gender studies","University of Oklahoma",31
"45","Area, ethnic, and gender studies","University of Oregon",47
"46","Area, ethnic, and gender studies","University of South Carolina",18
"47","Area, ethnic, and gender studies","University of Texas at Austin",150
"48","Area, ethnic, and gender studies","Utah State University",37
"49","Area, ethnic, and gender studies","Vanderbilt University",32
"50","Biological/life sciences","Alabama University",164
"51","Biological/life sciences","Boise State University",78
"52","Biological/life sciences","Clemson University",275
"53","Biological/life sciences","Florida State University",354
"54","Biological/life sciences","Kansas State University",142
"55","Biological/life sciences","Louisiana State University",357
"56","Biological/life sciences","Northern Illinois University",115
"57","Biological/life sciences","Notre Dame University",96
"58","Biological/life sciences","Ohio State University",717
"59","Biological/life sciences","Oregon State University",228
"60","Biological/life sciences","Rutgers University",592
"61","Biological/life sciences","San Jose State University",131
"62","Biological/life sciences","Stanford University",102
"63","Biological/life sciences","Texas A&amp;M University",722
"64","Biological/life sciences","University of Florida",786
"65","Biological/life sciences","University of Georgia",590
"66","Biological/life sciences","University of Louisville",104
"67","Biological/life sciences","University of Michigan",519
"68","Biological/life sciences","University of Nebraska at Lincoln",172
"69","Biological/life sciences","University of Oklahoma",224
"70","Biological/life sciences","University of Oregon",282
"71","Biological/life sciences","University of South Carolina",491
"72","Biological/life sciences","University of Texas at Austin",829
"73","Biological/life sciences","Utah State University",108
"74","Biological/life sciences","Vanderbilt University",125
"75","Business/marketing","Alabama University",1334
"76","Business/marketing","Boise State University",518
"77","Business/marketing","Clemson University",654
"78","Business/marketing","Florida State University",1580
"79","Business/marketing","Kansas State University",589
"80","Business/marketing","Louisiana State University",793
"81","Business/marketing","Northern Illinois University",734
"82","Business/marketing","Notre Dame University",418
"83","Business/marketing","Ohio State University",1942
"84","Business/marketing","Oregon State University",558
"85","Business/marketing","Rutgers University",500
"86","Business/marketing","San Jose State University",1360
"87","Business/marketing","Texas A&amp;M University",1533
"88","Business/marketing","University of Florida",1065
"89","Business/marketing","University of Georgia",1436
"90","Business/marketing","University of Louisville",409
"91","Business/marketing","University of Michigan",389
"92","Business/marketing","University of Nebraska at Lincoln",833
"93","Business/marketing","University of Oklahoma",755
"94","Business/marketing","University of Oregon",610
"95","Business/marketing","University of South Carolina",1211
"96","Business/marketing","University of Texas at Austin",1076
"97","Business/marketing","Utah State University",536
"98","Communication technologies","Northwestern University",171
"99","Communication technologies","University of Georgia",27
"100","Communication/journalism","Alabama University",444
"101","Communication/journalism","Boise State University",181
"102","Communication/journalism","Florida State University",291
"103","Communication/journalism","Kansas State University",131
"104","Communication/journalism","Louisiana State University",318
"105","Communication/journalism","Northern Illinois University",330
"106","Communication/journalism","Northwestern University",214
"107","Communication/journalism","Ohio State University",541
"108","Communication/journalism","Oregon State University",71
"109","Communication/journalism","Rutgers University",636
"110","Communication/journalism","San Jose State University",263
"111","Communication/journalism","Stanford University",28
"112","Communication/journalism","Texas A&amp;M University",271
"113","Communication/journalism","University of Florida",630
"114","Communication/journalism","University of Georgia",657
"115","Communication/journalism","University of Louisville",212
"116","Communication/journalism","University of Michigan",195
"117","Communication/journalism","University of Nebraska at Lincoln",260
"118","Communication/journalism","University of Oklahoma",367
"119","Communication/journalism","University of Oregon",469
"120","Communication/journalism","University of South Carolina",330
"121","Communication/journalism","University of Texas at Austin",1059
"122","Communication/journalism","Utah State University",81
"123","Communication/journalism","Vanderbilt University",28
"124","Computer and information sciences","Alabama University",19
"125","Computer and information sciences","Boise State University",52
"126","Computer and information sciences","Clemson University",34
"127","Computer and information sciences","Florida State University",157
"128","Computer and information sciences","Kansas State University",84
"129","Computer and information sciences","Louisiana State University",34
"130","Computer and information sciences","Northern Illinois University",67
"131","Computer and information sciences","Notre Dame University",37
"132","Computer and information sciences","Ohio State University",74
"133","Computer and information sciences","Oregon State University",83
"134","Computer and information sciences","Rutgers University",160
"135","Computer and information sciences","San Jose State University",86
"136","Computer and information sciences","Stanford University",138
"137","Computer and information sciences","Texas A&amp;M University",90
"138","Computer and information sciences","University of Florida",7
"139","Computer and information sciences","University of Georgia",42
"140","Computer and information sciences","University of Michigan",195
