"","CIP_Classificaiton","Year","ID_School","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"1307","Agriculture- Agriculture Operations and Related Sciences","1984-1985","AUB",24,0,0,0,0,2,0,0,1,0,0,0
"1308","Agricultural Sciences","1984-1985","AUB",63,0,0,0,0,20,0,0,0,1,0,0
"1309","Natural Resources and Conservation","1984-1985","AUB",36,0,0,0,0,4,0,0,0,0,0,0
"1310","Architecture and Related Services","1984-1985","AUB",176,0,0,0,0,44,2,0,3,0,0,0
"1311","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","AUB",1,0,0,0,0,0,1,0,0,0,0,0
"1312","Marketing and Distribution","1984-1985","AUB",0,0,0,0,0,27,0,0,0,1,0,0
"1313","Communication- Journalism- and Related Programs","1984-1985","AUB",34,0,0,0,0,106,0,0,2,2,0,0
"1314","Computer and Information Sciences and Support Services","1984-1985","AUB",14,0,1,0,0,9,0,0,0,0,0,0
"1315","Education","1984-1985","AUB",73,0,1,0,0,227,0,0,3,2,1,0
"1316","Engineering","1984-1985","AUB",567,5,2,4,1,85,5,1,14,6,0,0
"1317","Foreign Languages- Literatures- and Linguistics","1984-1985","AUB",10,0,0,0,0,58,0,0,0,0,0,0
"1318","Health Sciences","1984-1985","AUB",37,0,1,0,2,117,0,0,2,2,0,0
"1319","Family and Consumer Sciences/Human Sciences","1984-1985","AUB",4,0,0,0,0,71,0,0,0,1,0,0
"1320","English language and literature/letters.","1984-1985","AUB",21,0,0,0,0,31,0,0,1,0,0,0
"1321","Biological and Biomedical Sciences","1984-1985","AUB",36,0,0,0,0,19,0,0,0,0,0,0
"1322","Mathematics and Statistics","1984-1985","AUB",18,1,0,0,0,11,0,0,0,1,0,0
"1323","Parks- Recreation- Leisure and Fitness Studies","1984-1985","AUB",3,0,0,0,0,8,0,0,0,0,0,0
"1324","Philosophy and Religious Studies","1984-1985","AUB",3,0,0,1,0,3,0,0,0,0,0,0
"1325","Theology and religious vocations.","1984-1985","AUB",0,0,0,0,0,1,0,0,0,0,0,0
"1326","Physical Sciences","1984-1985","AUB",41,0,0,0,0,15,0,0,0,1,1,0
"1327","Science Technologies","1984-1985","AUB",5,0,0,0,0,11,0,0,0,1,0,0
"1328","Psychology","1984-1985","AUB",16,1,0,0,0,33,0,1,0,1,0,0
"1329","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","AUB",18,0,0,0,0,10,0,0,0,0,0,0
"1330","Public administration and social service professions.","1984-1985","AUB",20,0,0,0,0,21,0,0,0,4,0,0
"1331","Social Sciences and History","1984-1985","AUB",77,0,0,0,0,30,0,0,0,2,0,0
"1332","Visual and performing arts.","1984-1985","AUB",42,0,0,0,1,54,0,0,1,1,0,0
"1333","Health Professions and Related Programs","1984-1985","AUB",0,0,0,0,0,22,0,0,1,0,0,0
"1334","Business- Management- Marketing- and Related Support Services","1984-1985","AUB",389,6,2,0,0,278,1,1,3,3,0,0
"1335","Architecture and Related Services","1984-1985","BAMA",0,0,0,0,0,13,0,0,0,0,0,0
"1336","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","BAMA",4,0,0,0,0,0,0,0,0,1,0,0
"1337","Communication- Journalism- and Related Programs","1984-1985","BAMA",140,0,0,0,0,188,0,0,18,16,0,0
"1338","Computer and Information Sciences and Support Services","1984-1985","BAMA",24,0,0,0,0,21,0,0,3,3,0,0
"1339","Education","1984-1985","BAMA",17,0,0,0,0,124,0,0,2,7,0,0
"1340","Engineering","1984-1985","BAMA",288,0,0,0,0,51,0,0,18,12,0,0
"1341","Engineering Technologies and Engineering-related Fields","1984-1985","BAMA",28,0,0,0,0,4,0,0,10,1,0,0
"1342","Foreign Languages- Literatures- and Linguistics","1984-1985","BAMA",3,0,0,0,0,4,0,0,0,0,0,0
