"","Company","Variable","Value","Value_Type","Source","Period","Ad_Budget"
"1","AT&T Movile","Total Sports Advertising Spending",366.3,"Dollars_Millions","Nielsen",2012,NA
"2","Anheuser-Busch","Total Sports Advertising Spending",356.2,"Dollars_Millions","Nielsen",2012,NA
"3","Verizon","Total Sports Advertising Spending",340.5,"Dollars_Millions","Nielsen",2012,NA
"4","Ford","Total Sports Advertising Spending",305.9,"Dollars_Millions","Nielsen",2012,NA
"5","Toyota","Total Sports Advertising Spending",240,"Dollars_Millions","Nielsen",2012,NA
"6","Chevrolet","Total Sports Advertising Spending",238.9,"Dollars_Millions","Nielsen",2012,NA
"7","Geico","Total Sports Advertising Spending",216.7,"Dollars_Millions","Nielsen",2012,NA
"8","MillerCoors","Total Sports Advertising Spending",214.4,"Dollars_Millions","Nielsen",2012,NA
"9","McDonalds","Total Sports Advertising Spending",202.9,"Dollars_Millions","Nielsen",2012,NA
"10","Sprint","Total Sports Advertising Spending",179,"Dollars_Millions","Nielsen",2012,NA
"11","DirecTV","Total Sports Advertising Spending",175.4,"Dollars_Millions","Nielsen",2012,NA
"12","Nissan","Total Sports Advertising Spending",160.9,"Dollars_Millions","Nielsen",2012,NA
"13","Coca-Cola","Total Sports Advertising Spending",144.6,"Dollars_Millions","Nielsen",2012,NA
"14","Warner Bros. Entertainment","Total Sports Advertising Spending",138.6,"Dollars_Millions","Nielsen",2012,NA
"15","Southwest Airlines","Total Sports Advertising Spending",131.3,"Dollars_Millions","Nielsen",2012,NA
"16","State Farm","Total Sports Advertising Spending",129.3,"Dollars_Millions","Nielsen",2012,NA
"17","NFL","Total Sports Advertising Spending",125.6,"Dollars_Millions","Nielsen",2012,NA
"18","Subway","Total Sports Advertising Spending",125.3,"Dollars_Millions","Nielsen",2012,NA
"19","Lexus","Total Sports Advertising Spending",124.9,"Dollars_Millions","Nielsen",2012,NA
"20","Taco Bell","Total Sports Advertising Spending",119.6,"Dollars_Millions","Nielsen",2012,NA
"21","Microsoft","Total Sports Advertising Spending",119,"Dollars_Millions","Nielsen",2012,NA
"22","Proctor & Gamble","Total Sports Advertising Spending",118.4,"Dollars_Millions","Nielsen",2012,NA
"23","Apple","Total Sports Advertising Spending",110.5,"Dollars_Millions","Nielsen",2012,NA
"24","Dodge","Total Sports Advertising Spending",108.9,"Dollars_Millions","Nielsen",2012,NA
"25","Mercedes-Benz","Total Sports Advertising Spending",108.9,"Dollars_Millions","Nielsen",2012,NA
"26","Visa","Total Sports Advertising Spending",106.8,"Dollars_Millions","Nielsen",2012,NA
"27","GMC Truck Division","Total Sports Advertising Spending",105.9,"Dollars_Millions","Nielsen",2012,NA
"28","Hyundai","Total Sports Advertising Spending",100.8,"Dollars_Millions","Nielsen",2012,NA
"29","Honda","Total Sports Advertising Spending",99.9,"Dollars_Millions","Nielsen",2012,NA
