"","Quote","Person","Position","Company","Outlet","Date","Sector","Event","Sport"
"1","“Shifts in technology adoption and consumer
behavior have reshaped the digital sports
content ecosystem.  Nobody just watches TV
anymore.  Audiences use different screens in a
fluid manner depending on time of day, location
and other factors.  Many are multitasking on
laptops, smartphones and tablets even while
watching [sports events] on TV at home.”","Paul Verna","Senior Analyst","eMarketer",NA,2011-09-24,"Mobile",NA,NA
"2","“It’s still early days for this, to be certain, and we’re all still experimenting.  But we’re very encouraged thus far.  You combine the concept of checking in through your [mobile] phone with more traditional consumer loyalty programs, and blend that with digital ticketing, which is coming on fast, and you have a Gordian Knot of fan affinity.  And for people under 25, particularly, connectivity and checking in are like air.  So we obviously need to be there.”","Bob Bowman"," CEO","MLB Advanced Media","Sports Business Journal",2011-11-28,"Mobile",NA,NA
"3","“Checking scores, game video and other data during nights and weekends, not surprisingly, is  particular driver of mobile sports content.""",NA,NA,NA,NA,2011-11-28,"Mobile",NA,NA
"4","""The implication for sports, long term, likely will be felt most on the multimedia side, as the rapid adoption of mobile streaming video turns the wireless device into a TV that fits in your pocket.”",NA,NA,"SportsBusiness Journal","Sports Business Journal",NA,"Mobile",NA,NA
"5","""Leagues that had avoided streaming their content are beginning to launch online and mobile subscription offerings and ad-supported streams.  And many are finding that fears of cannibalization of traditional viewing are unfounded.  Content owners that take a proactive approach in reaching audiences on as many devices and platforms as possible are often rewarded with long-term gains in viewership and loyalty.  The top four U.S. professional sports leagues each have hundreds of millions of dollars in revenues from the paid content, advertising, andother revenue streams for their digital properties.”
  ",NA,NA,"SportsBusiness Journal",NA,2011-09-15,"Digital Media",NA,NA
"6","“Pro sports fans still overwhelmingly choose newspaper sports sections as the way to follow their favorite teams.",NA,NA,"SportsBusiness Journal",NA,NA,"Newspapers",NA,NA
"7","“We’ve gone from a time when the industry openly ridiculed the idea of a full-time sports station to an environment where some markets have three or even four all-sports radio outlets.”","Tom Taylor","Analyst","Taylor On Radio","Sports Business Journal",2012-02-13,"Sports Radio",NA,NA
"8","""With our partners, we are now able to increase the exposure of our outstanding athletics programs and our first-class academic and cultural communities.  At least $25 million will go to the academic side of the university over the next five years. ”","William Powers","President","University of Texas","Speech",2011-08-24,"Sports Cable Networks",NA,NA
"9","“Although ‘sports’ never shows up as a line item on a cable or satellite bill, American television subscribers pay, on average, about $100 a year for sports programming – no matter how many games they watch.”",NA,NA,NA,"New York Times",2011-12-15,"Cable",NA,NA
"10","“Social media platforms such as Twitter and Facebook have shown themselves to be as much as three times more effective in selling tickets than traditional marketing platforms.”
",NA,NA,NA,"Sports Business Journal",2012-05-07,"Social Media",NA,NA
"11","“It was only three years ago that the San Francisco Giants became the first team in sports to try dynamic pricing.  It wasn’t until last year that three other MLB teams, including the Cardinals, joined them.  This season, 17 of 30 MLB clubs will make the switch with some, if not all, of their seats.  The results of those who have gone before them were too compelling to ignore.""",NA,NA,"San Francisco Giants","Sports Business Journal",2012-03-19,"Dynamic Ticket Pricing",NA,NA
"12","“Luxury suites have been growing in importance since the 1990s and are an essential part of and new stadium being built.  In fact, most new stadiums are built not because they are physically obsolete, but because they are financially obsolete.""","Prof. Emily Sparvero, Ph.D.","Professor","Sports Industry Research Center-Temple University","USA Today",2012-02-05,"Stadiums",NA,NA
