FundAssetClass,FundType,FundManager,FundName,FundTargetSize.Billions,FundTargetNetIRR,FeeDescription,FundFees,FundPref,FundPostPrefSplits,FundIRRForPromote,DateData,Source,,,,,,,,,
Real Estate Private Equity,Opportunity,Blackstone,Blackstone Real Estate Partners Asia ,3500,16+ ,1.5% management (1.25% for $200 mil.+) ,1.5% management (1.25% for $200 mil.+) ,0.08,"80/20 to 20%, then 20/80 ",0.11,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,Blue Vista Capital,Blue Vista Sponsor Equity Fund 3 ,300,18,1.5% management ,1.5% management ,0.08,"100/0 to 20%, then 20/80 ",0.10,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,Brookwood Financial,Brookwood U.S. Real Estate Fund ,700,15-18 ,1.5% management ,1.5% management ,0.08,20/80 ,0.00,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,Dune Real Estate,Dune Real Estate Fund 3 ,850,20,1.5% management ,1.5% management ,0.09,"60/40 to 20%, then 20/80 ",0.14,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,Fortress Investment,Fortress Real Estate Opportunities ,1000,17,1.5% management ,1.5% management ,0.08,"50/50 to 20%, then 20/80 ",0.13,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,Guardian Realty Investors,Guardian Realty Fund 3 ,200,18,1.5% management ,1.5% management ,0.09,"40/60 to 20%, then 20/80 ",0.18,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,Hungerford Properties,Hungerford Properties Western Canada Opp. ,145,17,1.5% management ,1.5% management ,0.10,"50/50 to 20%, then 20/80 ",0.17,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,Iron Stone Strategic Capital,Iron Stone Real Estate Fund 3 ,75,18,2% management ,2% management ,0.09,"100/0 to 20%, then 20/80 ",0.11,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,JMI Realty,JMI Realty Partners 4 ,300,18-20 ,2% management ,2% management ,0.10,"70/30 to 20%, then 20/80 ",0.14,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,Moonbridge Capital,Moonbridge Capital Greater China Devel. ,400,18-20 ,2% management ,2% management ,0.09,20/80 ,0.00,3/27/13,Real Estate Alert,,,,,,,,,
Real Estate Private Equity,Opportunity,Northland Investment,Northland Fund 4 ,100,16-18 ,1.5% management ,1.5% management ,0.09,"50/50 to 20%, then 20/80 ",0.15,3/27/13,Real Estate Alert,,,,,,,,,
