unitid,awlevel,crace15,crace16,cipcode
100654,5,6,0,"01020"
100654,5,2,0,"01030"
100654,5,0,2,"01080"
100654,5,14,0,"01120"
100654,5,10,1,"01130"
100654,5,6,3,"04070"
100654,5,0,3,"04240"
100654,5,40,33,"05010"
100654,5,31,18,"05020"
100654,5,0,9,"05060"
100654,5,3,0,"05090"
100654,5,8,4,"06050"
100654,5,19,11,"07010"
100654,5,2,24,"08020"
100654,5,6,7,"08030"
100654,5,4,26,"08100"
100654,5,1,12,"08150"
100654,5,1,29,"08230"
100654,5,2,1,"08310"
100654,5,1,2,"08320"
100654,5,14,7,"08350"
100654,5,0,13,"08380"
100654,5,5,1,"08390"
100654,5,0,15,"08993"
100654,5,141,1,"09250"
100654,5,1,1,"15010"
100654,5,1,1,"17010"
100654,5,1,0,"19010"
100654,5,7,0,"19050"
100654,5,4,5,"20010"
100654,5,1,10,"21040"
100654,5,0,2,"22010"
100654,5,15,2,"22040"
100654,5,1,2,"22050"
100654,5,4,3,"22070"
100654,5,3,4,"22080"
100654,5,7,1,"22140"
100654,5,361,253,"99000"
100654,7,7,0,"01030"
100654,7,10,1,"01120"
100654,7,4,1,"01130"
100654,7,0,1,"02060"
100654,7,5,3,"04010"
100654,7,40,16,"05060"
100654,7,2,0,"06050"
100654,7,6,0,"07010"
100654,7,0,19,"08020"
100654,7,0,23,"08030"
100654,7,1,4,"08070"
100654,7,2,5,"08100"
100654,7,1,6,"08160"
100654,7,0,4,"08230"
100654,7,3,2,"08270"
100654,7,0,7,"08290"
100654,7,0,3,"08380"
100654,7,0,7,"08993"
100654,7,6,0,"09250"
100654,7,0,4,"15010"
100654,7,1,17,"16010"
100654,7,0,6,"17010"
100654,7,0,4,"19010"
100654,7,4,1,"20030"
100654,7,1,3,"21040"
100654,7,2,2,"22010"
100654,7,5,1,"22040"
100654,7,1,0,"22050"
100654,7,1,0,"22080"
100654,7,7,0,"22140"
100654,7,109,140,"99000"
101709,5,5,4,"04010"
101709,5,32,26,"05010"
101709,5,15,17,"05020"
101709,5,9,3,"05040"
101709,5,26,5,"05060"
101709,5,18,9,"05090"
101709,5,0,10,"05140"
101709,5,12,5,"06050"
101709,5,1,54,"08020"
101709,5,5,10,"08260"
101709,5,11,6,"08320"
101709,5,18,14,"08350"
101709,5,0,4,"08380"
101709,5,0,15,"08993"
101709,5,5,10,"10020"
101709,5,3,3,"10040"
101709,5,5,10,"10070"
101709,5,0,1,"11020"
101709,5,0,1,"11050"
101709,5,2,20,"12200"
101709,5,0,5,"12230"
101709,5,1,0,"12990"
101709,5,0,14,"13030"
101709,5,3,9,"15010"
101709,5,2,4,"17010"
101709,5,1,1,"19010"
101709,5,1,3,"19050"
101709,5,4,7,"20010"
101709,5,0,22,"21040"
101709,5,1,0,"21050"
101709,5,4,2,"22010"
101709,5,1,0,"22040"
101709,5,7,3,"22050"
101709,5,4,2,"22070"
101709,5,2,0,"22080"
101709,5,1,1,"49010"
101709,5,199,300,"99000"
101709,7,2,0,"06050"
101709,7,4,46,"08020"
101709,7,2,4,"08030"
101709,7,6,7,"08260"
101709,7,6,0,"08270"
101709,7,2,2,"08320"
101709,7,6,5,"08350"
101709,7,13,0,"08360"
101709,7,0,4,"08380"
101709,7,0,2,"08993"
101709,7,1,0,"10020"
101709,7,3,0,"10070"
101709,7,0,8,"12200"
101709,7,1,5,"15010"
101709,7,0,3,"17010"
101709,7,2,1,"22050"
101709,7,48,87,"99000"
