"","CIPTitle","DBPediaCollege_Name","BD_C_Percent","BD_C","Year","BD_Conferred","CIPFamily"
"1","Agriculture","Utah State University",0.027,3371,"2011-2012",91,"1"
"4","Agriculture","Oregon State University",0.055,3932,"2011-2012",216,"1"
"10","Agriculture","Notre Dame University",0.005,2078,"2010-2011",10,"1"
"11","Agriculture","Rutgers University",0.016,6171,"2010-2011",99,"1"
"12","Agriculture","San Jose State University",0.0018,4900,"2011-2012",9,"1"
"13","Agriculture","University of Georgia",0.0359,6861,"2011-2012",246,"1"
"14","Agriculture","Texas A&amp;M University",0.11,9020,"2011-2012",992,"1"
"16","Agriculture","Kansas State University",0.114,3638,"2011-2012",415,"1"
"17","Agriculture","University of Louisville",0.0053,2702,"2011-2012",14,"1"
"18","Agriculture","Clemson University",0.07,3441,"2011-2012",241,"1"
"20","Agriculture","University of Nebraska at Lincoln",0.0626,3719,"2011-2012",233,"1"
"21","Agriculture","University of Florida",0.0607,8601,"2011-2012",522,"1"
"22","Agriculture","Louisiana State University",0.0456,4600,"2011-2012",210,"1"
"23","Agriculture","Ohio State University",0.0416,11309,"2011-2012",470,"1"
"24","Architecture","Utah State University",0.008,3371,"2011-2012",27,"4"
"27","Architecture","Clemson University",0.02,3441,"2011-2012",69,"4"
"29","Architecture","University of Nebraska at Lincoln",0.0205,3719,"2011-2012",76,"4"
"30","Architecture","University of Florida",0.0133,8601,"2011-2012",114,"4"
"32","Architecture","University of Texas at Austin",0.007,8821,"2011-2012",62,"4"
"33","Architecture","University of Oregon",0.02,4694,"2011-2012",94,"4"
"34","Architecture","Louisiana State University",0.0185,4600,"2011-2012",85,"4"
"36","Architecture","Rutgers University",0.005,6171,"2010-2011",31,"4"
"37","Architecture","Notre Dame University",0.02,2078,"2010-2011",42,"4"
"38","Architecture","University of Michigan",0.01,6490,"2011-2012",65,"4"
"39","Architecture","Kansas State University",0.001,3638,"2011-2012",4,"4"
"40","Architecture","Ohio State University",0.0122,11309,"2011-2012",138,"4"
"41","Architecture","University of Oklahoma",0.0075,4079,"2011-2012",31,"4"
"42","Architecture","University of Georgia",0.0095,6861,"2011-2012",65,"4"
"46","Architecture","Texas A&amp;M University",0.01,9020,"2011-2012",90,"4"
"47","Area, ethnic, and gender studies","University of Texas at Austin",0.017,8821,"2011-2012",150,"5"
"48","Area, ethnic, and gender studies","Alabama University",0.002688774367018,4463,"2010-2011",12,"5"
"49","Area, ethnic, and gender studies","University of Michigan",0.02,6490,"2011-2012",130,"5"
"52","Area, ethnic, and gender studies","University of Nebraska at Lincoln",0.0037,3719,"2011-2012",14,"5"
"53","Area, ethnic, and gender studies","San Jose State University",6e-04,4900,"2011-2012",3,"5"
"54","Area, ethnic, and gender studies","University of Florida",0.0026,8601,"2011-2012",22,"5"
"55","Area, ethnic, and gender studies","University of Oklahoma",0.0075,4079,"2011-2012",31,"5"
"56","Area, ethnic, and gender studies","Oregon State University",0.004,3932,"2011-2012",16,"5"
"57","Area, ethnic, and gender studies","Florida State University",0.003,7860,"2011-2012",24,"5"
"59","Area, ethnic, and gender studies","Stanford University",0.0245,1715,"2011-2012",42,"5"
"60","Area, ethnic, and gender studies","Kansas State University",0.003,3638,"2011-2012",11,"5"
"61","Area, ethnic, and gender studies","Vanderbilt University",0.0192,1673,"2011-2012",32,"5"
"62","Area, ethnic, and gender studies","Utah State University",0.011,3371,"2011-2012",37,"5"
"63","Area, ethnic, and gender studies","Louisiana State University",2e-04,4600,"2011-2012",1,"5"
"64","Area, ethnic, and gender studies","Boise State University",0.001,2588,"2011-2012",3,"5"
"65","Area, ethnic, and gender studies","University of Georgia",0.0016,6861,"2011-2012",11,"5"
"66","Area, ethnic, and gender studies","Ohio State University",0.0027,11309,"2011-2012",31,"5"
"68","Area, ethnic, and gender studies","Rutgers University",0.014,6171,"2010-2011",86,"5"
"69","Area, ethnic, and gender studies","University of Oregon",0.01,4694,"2011-2012",47,"5"
"70","Area, ethnic, and gender studies","University of South Carolina",0.0039,4566,"2011-2012",18,"5"
"72","Biological/life sciences","University of Oklahoma",0.055,4079,"2011-2012",224,"26"
"73","Biological/life sciences","Oregon State University",0.058,3932,"2011-2012",228,"26"
"74","Biological/life sciences","San Jose State University",0.0267,4900,"2011-2012",131,"26"
"75","Biological/life sciences","University of Nebraska at Lincoln",0.0463,3719,"2011-2012",172,"26"
"76","Biological/life sciences","Boise State University",0.03,2588,"2011-2012",78,"26"
"78","Biological/life sciences","University of Oregon",0.06,4694,"2011-2012",282,"26"
"79","Biological/life sciences","University of Georgia",0.086,6861,"2011-2012",590,"26"
"80","Biological/life sciences","University of Texas at Austin",0.094,8821,"2011-2012",829,"26"
"81","Biological/life sciences","University of Louisville",0.0384,2702,"2011-2012",104,"26"
"82","Biological/life sciences","Texas A&amp;M University",0.08,9020,"2011-2012",722,"26"
"83","Biological/life sciences","Ohio State University",0.0634,11309,"2011-2012",717,"26"
"84","Biological/life sciences","University of Michigan",0.08,6490,"2011-2012",519,"26"
"85","Biological/life sciences","Louisiana State University",0.0776,4600,"2011-2012",357,"26"
"86","Biological/life sciences","Northern Illinois University",0.029329252741648,3921,"2010-2011",115,"26"
"87","Biological/life sciences","Alabama University",0.036746583015909,4463,"2010-2011",164,"26"
"88","Biological/life sciences","Kansas State University",0.039,3638,"2011-2012",142,"26"
"89","Biological/life sciences","Vanderbilt University",0.075,1673,"2011-2012",125,"26"
"90","Biological/life sciences","Utah State University",0.032,3371,"2011-2012",108,"26"
"91","Biological/life sciences","Rutgers University",0.096,6171,"2010-2011",592,"26"
"92","Biological/life sciences","Notre Dame University",0.046,2078,"2010-2011",96,"26"
"93","Biological/life sciences","Stanford University",0.0592,1715,"2011-2012",102,"26"
"94","Biological/life sciences","Florida State University",0.045,7860,"2011-2012",354,"26"
"95","Biological/life sciences","Clemson University",0.08,3441,"2011-2012",275,"26"
"96","Biological/life sciences","University of Florida",0.0914,8601,"2011-2012",786,"26"
"97","Biological/life sciences","University of South Carolina",0.1075,4566,"2011-2012",491,"26"
"98","Business/marketing","University of Oklahoma",0.185,4079,"2011-2012",755,"52"
"99","Business/marketing","Boise State University",0.2,2588,"2011-2012",518,"52"
"100","Business/marketing","Clemson University",0.19,3441,"2011-2012",654,"52"
"101","Business/marketing","University of Texas at Austin",0.122,8821,"2011-2012",1076,"52"
"103","Business/marketing","University of Oregon",0.13,4694,"2011-2012",610,"52"
"104","Business/marketing","Texas A&amp;M University",0.17,9020,"2011-2012",1533,"52"
"105","Business/marketing","Oregon State University",0.142,3932,"2011-2012",558,"52"
"106","Business/marketing","Ohio State University",0.1717,11309,"2011-2012",1942,"52"
"107","Business/marketing","University of Nebraska at Lincoln",0.224,3719,"2011-2012",833,"52"
"109","Business/marketing","Utah State University",0.159,3371,"2011-2012",536,"52"
"110","Business/marketing","University of Louisville",0.1512,2702,"2011-2012",409,"52"
"111","Business/marketing","Florida State University",0.201,7860,"2011-2012",1580,"52"
"112","Business/marketing","Notre Dame University",0.201,2078,"2010-2011",418,"52"
"113","Business/marketing","Northern Illinois University",0.18719714358582,3921,"2010-2011",734,"52"
"114","Business/marketing","Louisiana State University",0.1723,4600,"2011-2012",793,"52"
"115","Business/marketing","University of Michigan",0.06,6490,"2011-2012",389,"52"
"116","Business/marketing","University of Georgia",0.2093,6861,"2011-2012",1436,"52"
"117","Business/marketing","University of Florida",0.1238,8601,"2011-2012",1065,"52"
"118","Business/marketing","Rutgers University",0.081,6171,"2010-2011",500,"52"
"119","Business/marketing","University of South Carolina",0.2653,4566,"2011-2012",1211,"52"
"120","Business/marketing","Alabama University",0.298902083800134,4463,"2010-2011",1334,"52"
"121","Business/marketing","San Jose State University",0.2776,4900,"2011-2012",1360,"52"
"122","Business/marketing","Kansas State University",0.162,3638,"2011-2012",589,"52"
"140","Communication technologies","Northwestern University",0.08,2135,"2011-2012",171,"10"
"145","Communication technologies","University of Georgia",0.0039,6861,"2011-2012",27,"10"
"146","Communication/journalism","University of Texas at Austin",0.12,8821,"2011-2012",1059,"9"
"147","Communication/journalism","Utah State University",0.024,3371,"2011-2012",81,"9"
"148","Communication/journalism","Stanford University",0.0162,1715,"2011-2012",28,"9"
"149","Communication/journalism","Texas A&amp;M University",0.03,9020,"2011-2012",271,"9"
"150","Communication/journalism","Northern Illinois University",0.08416220351951,3921,"2010-2011",330,"9"
"151","Communication/journalism","University of Georgia",0.0958,6861,"2011-2012",657,"9"
"152","Communication/journalism","University of Louisville",0.0783,2702,"2011-2012",212,"9"
"153","Communication/journalism","University of Michigan",0.03,6490,"2011-2012",195,"9"
"154","Communication/journalism","University of Florida",0.0732,8601,"2011-2012",630,"9"
"155","Communication/journalism","Florida State University",0.037,7860,"2011-2012",291,"9"
"156","Communication/journalism","University of Nebraska at Lincoln",0.07,3719,"2011-2012",260,"9"
"157","Communication/journalism","Vanderbilt University",0.0165,1673,"2011-2012",28,"9"
"158","Communication/journalism","Kansas State University",0.036,3638,"2011-2012",131,"9"
"159","Communication/journalism","University of Oklahoma",0.09,4079,"2011-2012",367,"9"
"160","Communication/journalism","San Jose State University",0.0537,4900,"2011-2012",263,"9"
"161","Communication/journalism","Oregon State University",0.018,3932,"2011-2012",71,"9"
"162","Communication/journalism","Northwestern University",0.1,2135,"2011-2012",214,"9"
"163","Communication/journalism","Rutgers University",0.103,6171,"2010-2011",636,"9"
"164","Communication/journalism","Louisiana State University",0.0692,4600,"2011-2012",318,"9"
"165","Communication/journalism","University of South Carolina",0.0723,4566,"2011-2012",330,"9"
"166","Communication/journalism","Ohio State University",0.0478,11309,"2011-2012",541,"9"
"168","Communication/journalism","University of Oregon",0.1,4694,"2011-2012",469,"9"
"169","Communication/journalism","Boise State University",0.07,2588,"2011-2012",181,"9"
"170","Communication/journalism","Alabama University",0.099484651579655,4463,"2010-2011",444,"9"
"173","Computer and information sciences","University of Oregon",0.01,4694,"2011-2012",47,"2"
"174","Computer and information sciences","Northern Illinois University",0.017087477684264,3921,"2010-2011",67,"2"
"175","Computer and information sciences","University of Florida",8e-04,8601,"2011-2012",7,"2"
"176","Computer and information sciences","University of Georgia",0.0061,6861,"2011-2012",42,"2"
"177","Computer and information sciences","University of Michigan",0.03,6490,"2011-2012",195,"2"
"178","Computer and information sciences","Boise State University",0.02,2588,"2011-2012",52,"2"
"179","Computer and information sciences","University of Nebraska at Lincoln",0.0062,3719,"2011-2012",23,"2"
"180","Computer and information sciences","University of South Carolina",0.0091,4566,"2011-2012",42,"2"
"181","Computer and information sciences","University of Texas at Austin",0.022,8821,"2011-2012",194,"2"
"182","Computer and information sciences","Utah State University",0.023,3371,"2011-2012",78,"2"
"183","Computer and information sciences","University of Oklahoma",0.01,4079,"2011-2012",41,"2"
"184","Computer and information sciences","Clemson University",0.01,3441,"2011-2012",34,"2"
"185","Computer and information sciences","Vanderbilt University",0.0114,1673,"2011-2012",19,"2"
"186","Computer and information sciences","Texas A&amp;M University",0.01,9020,"2011-2012",90,"2"
"187","Computer and information sciences","Stanford University",0.0804,1715,"2011-2012",138,"2"
"188","Computer and information sciences","San Jose State University",0.0176,4900,"2011-2012",86,"2"
"190","Computer and information sciences","Rutgers University",0.026,6171,"2010-2011",160,"2"
"191","Computer and information sciences","Louisiana State University",0.0075,4600,"2011-2012",34,"2"
"192","Computer and information sciences","Notre Dame University",0.018,2078,"2010-2011",37,"2"
"193","Computer and information sciences","Alabama University",0.004257226081111,4463,"2010-2011",19,"2"
"194","Computer and information sciences","Kansas State University",0.023,3638,"2011-2012",84,"2"
"195","Computer and information sciences","Florida State University",0.02,7860,"2011-2012",157,"2"
"196","Computer and information sciences","Ohio State University",0.0065,11309,"2011-2012",74,"2"
"197","Computer and information sciences","Oregon State University",0.021,3932,"2011-2012",83,"2"
"205","Construction trades","Notre Dame University",0.16,2078,"2010-2011",332,"46"
"220","Education","University of Oklahoma",0.04,4079,"2011-2012",163,"13"
"221","Education","Northern Illinois University",0.094618719714359,3921,"2010-2011",371,"13"
"222","Education","Vanderbilt University",0.0329,1673,"2011-2012",55,"13"
"223","Education","University of Michigan",0.02,6490,"2011-2012",130,"13"
"224","Education","Northwestern University",0.07,2135,"2011-2012",149,"13"
"226","Education","Ohio State University",0.0345,11309,"2011-2012",390,"13"
"227","Education","University of Georgia",0.0583,6861,"2011-2012",400,"13"
"228","Education","University of Oregon",0.02,4694,"2011-2012",94,"13"
"229","Education","University of Louisville",0.0726,2702,"2011-2012",196,"13"
"230","Education","University of South Carolina",0.0417,4566,"2011-2012",190,"13"
"231","Education","Louisiana State University",0.0986,4600,"2011-2012",454,"13"
"232","Education","Utah State University",0.131,3371,"2011-2012",442,"13"
"233","Education","Boise State University",0.105,2588,"2011-2012",272,"13"
"234","Education","University of Nebraska at Lincoln",0.0809,3719,"2011-2012",301,"13"
"235","Education","Oregon State University",0.018,3932,"2011-2012",71,"13"
"236","Education","Clemson University",0.07,3441,"2011-2012",241,"13"
"238","Education","University of Florida",0.0269,8601,"2011-2012",231,"13"
"239","Education","Kansas State University",0.084,3638,"2011-2012",306,"13"
"241","Education","Alabama University",0.068115617297782,4463,"2010-2011",304,"13"
"242","Education","Florida State University",0.034,7860,"2011-2012",267,"13"
"244","Education","San Jose State University",0.0024,4900,"2011-2012",12,"13"
"245","Engineering","Notre Dame University",0.091,2078,"2010-2011",189,"14"
"246","Engineering","Northern Illinois University",0.028309104820199,3921,"2010-2011",111,"14"
"247","Engineering","Stanford University",0.1497,1715,"2011-2012",257,"14"
"248","Engineering","University of Louisville",0.1028,2702,"2011-2012",278,"14"
"249","Engineering","Boise State University",0.048,2588,"2011-2012",124,"14"
"251","Engineering","University of Nebraska at Lincoln",0.0958,3719,"2011-2012",356,"14"
"252","Engineering","Texas A&amp;M University",0.15,9020,"2011-2012",1353,"14"
"253","Engineering","Florida State University",0.039,7860,"2011-2012",307,"14"
"255","Engineering","University of Michigan",0.16,6490,"2011-2012",1038,"14"
"256","Engineering","Northwestern University",0.08,2135,"2011-2012",171,"14"
"257","Engineering","Alabama University",0.07035626260363,4463,"2010-2011",314,"14"
"258","Engineering","University of Georgia",0.0076,6861,"2011-2012",52,"14"
"259","Engineering","Ohio State University",0.0997,11309,"2011-2012",1128,"14"
"260","Engineering","Vanderbilt University",0.1272,1673,"2011-2012",213,"14"
"261","Engineering","Utah State University",0.062,3371,"2011-2012",209,"14"
"262","Engineering","University of Oklahoma",0.09,4079,"2011-2012",367,"14"
"263","Engineering","Kansas State University",0.098,3638,"2011-2012",357,"14"
"264","Engineering","University of Florida",0.1235,8601,"2011-2012",1062,"14"
"265","Engineering","Louisiana State University",0.105,4600,"2011-2012",483,"14"
"266","Engineering","University of South Carolina",0.0534,4566,"2011-2012",244,"14"
"267","Engineering","San Jose State University",0.0778,4900,"2011-2012",381,"14"
"268","Engineering","University of Texas at Austin",0.121,8821,"2011-2012",1067,"14"
"269","Engineering","Rutgers University",0.082,6171,"2010-2011",506,"14"
"270","Engineering","Oregon State University",0.151,3932,"2011-2012",594,"14"
"272","Engineering technologies","Kansas State University",0.042,3638,"2011-2012",153,"15"
"273","Engineering technologies","Texas A&amp;M University",0.03,9020,"2011-2012",271,"15"
"281","Engineering technologies","University of Florida",0.0114,8601,"2011-2012",98,"15"
"283","Engineering technologies","University of Nebraska at Lincoln",0.0235,3719,"2011-2012",87,"15"
"284","Engineering technologies","Northern Illinois University",0.016067329762816,3921,"2010-2011",63,"15"
"288","Engineering technologies","Clemson University",0.17,3441,"2011-2012",585,"15"
"289","Engineering technologies","Northwestern University",0.07,2135,"2011-2012",149,"15"
"291","Engineering technologies","Stanford University",0.0385,1715,"2011-2012",66,"15"
"294","Engineering technologies","Ohio State University",3e-04,11309,"2011-2012",3,"15"
"295","English","University of Nebraska at Lincoln",0.0252,3719,"2011-2012",94,"23"
"296","English","University of Michigan",0.04,6490,"2011-2012",260,"23"
"298","English","University of Florida",0.0309,8601,"2011-2012",266,"23"
"299","English","University of Oregon",0.03,4694,"2011-2012",141,"23"
"300","English","Alabama University",0.019045485099709,4463,"2010-2011",85,"23"
"301","English","Kansas State University",0.013,3638,"2011-2012",47,"23"
"302","English","University of Louisville",0.0384,2702,"2011-2012",104,"23"
"303","English","University of Oklahoma",0.02,4079,"2011-2012",82,"23"
"304","English","Rutgers University",0.042,6171,"2010-2011",259,"23"
"305","English","Texas A&amp;M University",0.02,9020,"2011-2012",180,"23"
"306","English","University of South Carolina",0.0291,4566,"2011-2012",133,"23"
"307","English","Ohio State University",0.0327,11309,"2011-2012",370,"23"
"308","English","Northern Illinois University",0.035705177250701,3921,"2010-2011",140,"23"
"309","English","Notre Dame University",0.039,2078,"2010-2011",81,"23"
"310","English","Vanderbilt University",0.0435,1673,"2011-2012",73,"23"
"311","English","Boise State University",0.035,2588,"2011-2012",91,"23"
"312","English","Oregon State University",0.017,3932,"2011-2012",67,"23"
"313","English","University of Georgia",0.03,6861,"2011-2012",206,"23"
"314","English","Florida State University",0.052,7860,"2011-2012",409,"23"
"315","English","San Jose State University",0.0478,4900,"2011-2012",234,"23"
"316","English","Stanford University",0.0385,1715,"2011-2012",66,"23"
"317","English","University of Texas at Austin",0.036,8821,"2011-2012",318,"23"
