,Sport,Governing_Body,Variable,Facet_Type,Facet_Value,Value_Type,Source,Period,Date,Value
1,Football,NCAA,NCAA Football Fans,Gender,Male,Percent of Total,ESPN Sports Poll,2012,NA,0.62
2,Football,NCAA,NCAA Football Fans,Gender,Female,Percent of Total,ESPN Sports Poll,2012,NA,0.38
3,Football,NCAA,NCAA Football Fans,Age,12-to-17,Percent of Total,ESPN Sports Poll,2012,NA,0.13
4,Football,NCAA,NCAA Football Fans,Age,18-to-24,Percent of Total,ESPN Sports Poll,2012,NA,0.1
5,Football,NCAA,NCAA Football Fans,Age,25-to-34,Percent of Total,ESPN Sports Poll,2012,NA,0.17
6,Football,NCAA,NCAA Football Fans,Age,35-to-44,Percent of Total,ESPN Sports Poll,2012,NA,0.15
7,Football,NCAA,NCAA Football Fans,Age,45-to-54,Percent of Total,ESPN Sports Poll,2012,NA,0.19
8,Football,NCAA,NCAA Football Fans,Age,55 and older,Percent of Total,ESPN Sports Poll,2012,NA,0.25
9,Football,NCAA,NCAA Football Fans,Ethnicity,Caucasian,Percent of Total,ESPN Sports Poll,2012,NA,0.75
10,Football,NCAA,NCAA Football Fans,Ethnicity,Hispanic-American,Percent of Total,ESPN Sports Poll,2012,NA,0.11
11,Football,NCAA,NCAA Football Fans,Ethnicity,African-American,Percent of Total,ESPN Sports Poll,2012,NA,0.09
12,Football,NCAA,NCAA Football Fans,Ethnicity,Other,Percent of Total,ESPN Sports Poll,2012,NA,0.05
