,Facet_Type,Facet_Value,Variable,Value,Value_Type,Sport,Governing_Body,Source,Period
1,Location,"Columbus, Ohio",Percentage of adults that said they are avid fans of at least one major sport,0.66,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
2,Location,"Boston, Massachusetts",Percentage of adults that said they are avid fans of at least one major sport,0.64,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
3,Location,"Buffalo, New York",Percentage of adults that said they are avid fans of at least one major sport,0.63,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
4,Location,"Pittsburgh, Pennsylvania",Percentage of adults that said they are avid fans of at least one major sport,0.63,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
5,Location,"Green Bay/Appleton, Wisconsin",Percentage of adults that said they are avid fans of at least one major sport,0.62,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
6,Location,"Providence/New Bedford, Rhode Island",Percentage of adults that said they are avid fans of at least one major sport,0.62,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
7,Location,"Denver, Colorado",Percentage of adults that said they are avid fans of at least one major sport,0.62,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
8,Location,"Rochester, New York",Percentage of adults that said they are avid fans of at least one major sport,0.62,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
9,Location,"Louisville, Kentucky",Percentage of adults that said they are avid fans of at least one major sport,0.62,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
10,Location,"Cleveland/Akron, Ohio",Percentage of adults that said they are avid fans of at least one major sport,0.62,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
11,Location,"San Antonio, Texas",Percentage of adults that said they are avid fans of at least one major sport,0.62,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
12,Location,"Birmingham, Alabama",Percentage of adults that said they are avid fans of at least one major sport,0.62,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
13,Location,"Spokane, Washington",Percentage of adults that said they are avid fans of at least one major sport,0.61,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
14,Location,"Dayton, Ohio",Percentage of adults that said they are avid fans of at least one major sport,0.61,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
15,Location,"Jacksonville, Florida",Percentage of adults that said they are avid fans of at least one major sport,0.61,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
16,Location,"Indianapolis, Indiana",Percentage of adults that said they are avid fans of at least one major sport,0.61,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
17,Location,"Albany/Schenectady/Troy, New York",Percentage of adults that said they are avid fans of at least one major sport,0.6,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
18,Location,"Oklahoma City, Oklahoma",Percentage of adults that said they are avid fans of at least one major sport,0.6,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
19,Location,"Lexington, Kentucky",Percentage of adults that said they are avid fans of at least one major sport,0.6,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
20,Location,"Flint/Saginaw/Bay City, Michigan",Percentage of adults that said they are avid fans of at least one major sport,0.6,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
21,Location,"Toledo, Ohio",Percentage of adults that said they are avid fans of at least one major sport,0.6,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
22,Location,"Colorado Springs/Pueblo, Colorado",Percentage of adults that said they are avid fans of at least one major sport,0.6,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
23,Location,"Mobile, Alabama/Pensacola, Florida",Percentage of adults that said they are avid fans of at least one major sport,0.6,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
24,Location,"Detroit, Michigan",Percentage of adults that said they are avid fans of at least one major sport,0.6,Percentage of MSA,NA,NA,Scarborough Sports Marketing,2012
