ID_School,ID_Sport,Season,Number,Player,Last_Name,First_Name,Position,Height,Weight,Year,Eligibility,Hometown/Prior_School,Player_URL,Birthday
USC,FBALL,2012-2013,2,Robert Woods,Woods,Robert,WR,6/1/13,190,JR,2V,Carson (Serra),http://www.usctrojans.com/sports/m-footbl/mtt/woods_robert00.html,
USC,FBALL,2012-2013,4,Torin Harris,Harris,Torin,CB,6/1/00,190,RS JR,2V,"Las Vegas, NV (Palo Verde HS)",http://www.usctrojans.com/sports/m-footbl/mtt/harris_torin00.html,
USC,FBALL,2012-2013,6,Cody Kessler,Kessler,Cody,QB,6/1/13,215,RS FR,SQ,"Bakersfield, CA (Centennial HS)",http://www.usctrojans.com/sports/m-footbl/mtt/kessler_cody00.html,
USC,FBALL,2012-2013,7,Matt Barkley,Barkley,Matt,QB,6/2/13,230,SR,3V,"Newport Beach, CA (Mater Dei HS)",http://www.usctrojans.com/sports/m-footbl/mtt/barkley_matt00.html,
USC,FBALL,2012-2013,7,T.J. Mcdonald,Mcdonald,T.J.,S,6/3/13,205,SR,3V,"Fresno, CA (Edison HS)",http://www.usctrojans.com/sports/m-footbl/mtt/mcdonald_tj00.html,
USC,FBALL,2012-2013,8,George Farmer,Farmer,George,WR,6/1/13,205,SO,1V,"Los Angeles, CA (Serra HS)",http://www.usctrojans.com/sports/m-footbl/mtt/farmer_george00.html,
USC,FBALL,2012-2013,9,Marqise Lee,Lee,Marqise,WR,6/1/00,195,SO,1V,"Inglewood, CA (Serra HS)",http://www.usctrojans.com/sports/m-footbl/mtt/lee_marqise00.html,
USC,FBALL,2012-2013,10,Hayes Pullard,Pullard,Hayes,LB,6/1/13,235,RS SO,1V,"Inglewood, CA (Crenshaw HS)",http://www.usctrojans.com/sports/m-footbl/mtt/pullard_hayes00.html,
USC,FBALL,2012-2013,13,Max Wittek,Wittek,Max,QB,6/4/13,235,RS FR,SQ,"Newport Beach, CA (Mater Dei HS)",http://www.usctrojans.com/sports/m-footbl/mtt/wittek_max00.html,
USC,FBALL,2012-2013,13,Tre Madden,Madden,Tre,TB,6/1/13,220,SO,1V,"Aliso Viejo, CA (Mission Viejo HS)",http://www.usctrojans.com/sports/m-footbl/mtt/madden_tre00.html,
USC,FBALL,2012-2013,14,Christian Sutton,Sutton,Christian,CB,5/10/13,160,RS FR,,"Suwanee, GA (Point)",http://www.usctrojans.com/sports/m-footbl/mtt/sutton_christian01.html,
USC,FBALL,2012-2013,14,Ryan Henderson,Henderson,Ryan,CB,5/10/13,170,RS FR,SQ,"Moreno Valley, CA (Rancho Verde HS)",http://www.usctrojans.com/sports/m-footbl/mtt/henderson_ryan00.html,
USC,FBALL,2012-2013,15,Nelson Agholor,Agholor,Nelson,WR-TB,6/1/13,185,FR,--,"Tampa, FL (Berkeley Prep)",http://www.usctrojans.com/sports/m-footbl/mtt/agholor_nelson00.html,
USC,FBALL,2012-2013,16,Conner Sullivan,Sullivan,Conner,QB,6/1/13,180,FR,,"Orange, Calif. (Orange Lutheran)",http://www.usctrojans.com/sports/m-footbl/mtt/sullivan_conner00.html,
