Player,Team,Salary,Season,Contract_End,Option,Contract Years,Total Contract,Shamsports_Player_URL
Scott Williams,Chicago Bulls,"$613,000 ",1992-1993,,,,,
Scottie Pippen,Chicago Bulls,"$3,425,000 ",1992-1993,,,,,
Sean Elliott,San Antonio Spurs,"$1,802,000 ",1992-1993,,,,,
Sean Green,Indiana Pacers,"$355,000 ",1992-1993,,,,,
Sean Higgins,Golden State Warriors,,1992-1993,,,,,
Sean Rooks,Dallas Mavericks,"$375,000 ",1992-1993,,,,,
Sedale Threatt,Los Angeles Lakers,"$796,000 ",1992-1993,,,,,
Shaquille O'Neal,Orlando Magic,"$3,000,000 ",1992-1993,,,,,
Shawn Kemp,Seattle Supersonics,"$650,000 ",1992-1993,,,,,
Sherman Douglas,Boston Celtics,"$1,869,000 ",1992-1993,,,,,
Sidney Green,Charlotte Hornets,"$1,288,000 ",1992-1993,,,,,
Sleepy Floyd,Houston Rockets,"$1,700,000 ",1992-1993,,,,,
Spud Webb,Sacramento Kings,"$1,317,000 ",1992-1993,,,,,
Stacey Augmon,Atlanta Hawks,"$1,138,000 ",1992-1993,,,,,
Stacey King,Chicago Bulls,"$1,400,000 ",1992-1993,,,,,
Stan Kimbrough,Sacramento Kings,"$133,000 ",1992-1993,,,,,
Stanley Roberts,Los Angeles Clippers,"$1,900,000 ",1992-1993,,,,,
Stephen Bardo,Dallas Mavericks,"$150,000 ",1992-1993,,,,,
Stephen Howard,Utah Jazz,"$140,000 ",1992-1993,,,,,
Steve Burtt,Washington Bullets,,1992-1993,,,,,
Steve Henson,Atlanta Hawks,"$1,250,000 ",1992-1993,,,,,
Steve Kerr,Orlando Magic,"$550,000 ",1992-1993,,,,,
Steve Scheffler,Seattle Supersonics,"$140,000 ",1992-1993,,,,,
Steve Smith,Miami Heat,"$2,252,000 ",1992-1993,,,,,
Tate George,New Jersey Nets,"$551,000 ",1992-1993,,,,,
Terrell Brandon,Cleveland Cavaliers,"$682,000 ",1992-1993,,,,,
Terry Catledge,Orlando Magic,"$1,086,000 ",1992-1993,,,,,
Terry Cummings,San Antonio Spurs,"$2,407,000 ",1992-1993,,,,,
Terry Davis,Dallas Mavericks,"$1,537,000 ",1992-1993,,,,,
Terry Mills,Detroit Pistons,"$1,337,000 ",1992-1993,,,,,
Terry Porter,Portland Trail Blazers,"$2,200,000 ",1992-1993,,,,,
Terry Teagle,Houston Rockets,,1992-1993,,,,,
Thomas Jordan,Philadelphia 76ers,,1992-1993,,,,,
Thurl Bailey,Minnesota Timberwolves,"$1,000,000 ",1992-1993,,,,,
Tim Hardaway,Golden State Warriors,"$690,000 ",1992-1993,,,,,
Tim Kempton,Phoenix Suns,"$500,000 ",1992-1993,,,,,
Tim Legler,Dallas Mavericks,"$140,000 ",1992-1993,,,,,
Tim Perry,Philadelphia 76ers,"$900,000 ",1992-1993,,,,,
Todd Day,Milwaukee Bucks,"$1,325,000 ",1992-1993,,,,,
Todd Lichti,Denver Nuggets,"$565,180 ",1992-1993,,,,,
Tom Chambers,Phoenix Suns,"$1,885,000 ",1992-1993,,,,,
Tom Gugliotta,Washington Bullets,"$1,250,000 ",1992-1993,,,,,
Tom Hammonds,Denver Nuggets,"$850,000 ",1992-1993,,,,,
Tom Tolbert,Orlando Magic,,1992-1993,,,,,
Tony Bennett,Charlotte Hornets,"$140,000 ",1992-1993,,,,,
Tony Campbell,New York Knicks,"$1,383,000 ",1992-1993,,,,,
Tony Smith,Los Angeles Lakers,"$450,000 ",1992-1993,,,,,
Tracy Moore,Dallas Mavericks,"$250,000 ",1992-1993,,,,,
Tracy Murray,Portland Trail Blazers,"$725,000 ",1992-1993,,,,,
Travis Mays,Atlanta Hawks,"$1,200,000 ",1992-1993,,,,,
Tree Rollins,Houston Rockets,"$500,000 ",1992-1993,,,,,
Trent Tucker,Chicago Bulls,"$350,000 ",1992-1993,,,,,
Tyrone Corbin,Utah Jazz,"$1,100,000 ",1992-1993,,,,,
Tyrone Hill,Golden State Warriors,"$1,400,000 ",1992-1993,,,,,
Vern Fleming,Indiana Pacers,"$1,360,000 ",1992-1993,,,,,
Vernon Maxwell,Houston Rockets,"$1,542,000 ",1992-1993,,,,,
Victor Alexander,Golden State Warriors,"$942,000 ",1992-1993,,,,,
Vincent Askew,Seattle Supersonics,"$180,000 ",1992-1993,,,,,
Vinny Del Negro,San Antonio Spurs,"$920,000 ",1992-1993,,,,,
Vlade Divac,Los Angeles Lakers,"$3,633,000 ",1992-1993,,,,,
Walt Williams,Sacramento Kings,"$1,275,000 ",1992-1993,,,,,
Walter Bond,Dallas Mavericks,"$150,000 ",1992-1993,,,,,
Walter Palmer,Dallas Mavericks,"$140,000 ",1992-1993,,,,,
Wayman Tisdale,Sacramento Kings,"$2,333,000 ",1992-1993,,,,,
Will Perdue,Chicago Bulls,"$625,000 ",1992-1993,,,,,
William Bedford,San Antonio Spurs,,1992-1993,,,,,
Willie Anderson,San Antonio Spurs,"$2,075,000 ",1992-1993,,,,,
Willie Burton,Miami Heat,"$802,000 ",1992-1993,,,,,
Winston Garland,Houston Rockets,"$134,000 ",1992-1993,,,,,
Xavier McDaniel,Boston Celtics,"$1,650,000 ",1992-1993,,,,,
A.C. Green,Phoenix Suns,"$1,885,000 ",1993-1994,,,,,
A.J. English,Chicago Bulls,"$150,000 ",1993-1994,,,,,
A.J. English,Portland Trail Blazers,"$150,000 ",1993-1994,,,,,
Acie Earl,Boston Celtics,"$650,000 ",1993-1994,,,,,
Adam Keefe,Atlanta Hawks,"$1,200,000 ",1993-1994,,,,,
Alaa Abdelnaby,Boston Celtics,"$805,000 ",1993-1994,,,,,
Alec Kessler,Miami Heat,"$922,000 ",1993-1994,,,,,
Allen Houston,Detroit Pistons,"$736,000 ",1993-1994,,,,,
Alonzo Mourning,Charlotte Hornets,"$3,120,000 ",1993-1994,,,,,
Alvin Robertson,Denver Nuggets,"$1,408,000 ",1993-1994,,,,,
Andre Spencer,Golden State Warriors,"$250,000 ",1993-1994,,,,,
Andrew Lang,Atlanta Hawks,"$1,228,000 ",1993-1994,,,,,
Anfernee Hardaway,Orlando Magic,"$1,244,000 ",1993-1994,,,,,
Anthony Avent,Orlando Magic,"$650,000 ",1993-1994,,,,,
Anthony Bonner,New York Knicks,"$650,000 ",1993-1994,,,,,
Anthony Bowie,Orlando Magic,"$900,000 ",1993-1994,,,,,
Anthony Cooke,Milwaukee Bucks,"$650,000 ",1993-1994,,,,,
Anthony Mason,New York Knicks,"$1,100,000 ",1993-1994,,,,,
Anthony Peeler,Los Angeles Lakers,"$910,000 ",1993-1994,,,,,
Anthony Webb,Sacramento Kings,"$1,567,000 ",1993-1994,,,,,
Antoine Carr,San Antonio Spurs,"$1,353,000 ",1993-1994,,,,,
Antonio Davis,Indiana Pacers,"$565,000 ",1993-1994,,,,,
Antonio Harvey,Los Angeles Lakers,"$150,000 ",1993-1994,,,,,
Armon Gilliam,New Jersey Nets,"$1,200,000 ",1993-1994,,,,,
Avery Johnson,Golden State Warriors,"$300,000 ",1993-1994,,,,,
B.J. Armstrong,Chicago Bulls,"$620,000 ",1993-1994,,,,,
Benoit Benjamin,New Jersey Nets,"$3,575,000 ",1993-1994,,,,,
Bill Cartwright,Chicago Bulls,"$2,400,000 ",1993-1994,,,,,
Bill Laimbeer,Detroit Pistons,"$1,300,000 ",1993-1994,,,,,
Bill Wennington,Chicago Bulls,"$150,000 ",1993-1994,,,,,
Billy Owens,Golden State Warriors,"$2,414,000 ",1993-1994,,,,,
Blair Rasmussen,Atlanta Hawks,"$2,457,000 ",1993-1994,,,,,
Bo Kimble,New York Knicks,"$1,150,000 ",1993-1994,,,,,
Bobby Hurley,Sacramento Kings,"$1,616,000 ",1993-1994,,,,,
Bobby Phills,Cleveland Cavaliers,"$313,000 ",1993-1994,,,,,
Brad Daugherty,Cleveland Cavaliers,"$3,541,000 ",1993-1994,,,,,
Brad Lohaus,Milwaukee Bucks,"$958,000 ",1993-1994,,,,,
Brent Price,Washington Bullets,"$283,000 ",1993-1994,,,,,
Brian Davis,Minnesota Timberwolves,"$150,000 ",1993-1994,,,,,
Brian Oliver,Philadelphia 76ers,"$456,000 ",1993-1994,,,,,
Brian Shaw,Miami Heat,"$1,513,000 ",1993-1994,,,,,
Brian Stith,Denver Nuggets,"$1,100,000 ",1993-1994,,,,,
Brian Williams,Denver Nuggets,"$1,244,000 ",1993-1994,,,,,
Buck Johnson,Washington Bullets,"$715,000 ",1993-1994,,,,,
Buck Williams,Portland Trail Blazers,"$5,050,000 ",1993-1994,,,,,
Byron Houston,Golden State Warriors,"$600,000 ",1993-1994,,,,,
Byron Russell,Utah Jazz,"$150,000 ",1993-1994,,,,,
Byron Scott,Indiana Pacers,"$650,000 ",1993-1994,,,,,
Calbert Cheaney,Washington Bullets,"$2,000,000 ",1993-1994,,,,,
Carl Herrera,Houston Rockets,"$1,000,000 ",1993-1994,,,,,
Cedric Ceballos,Phoenix Suns,"$2,000,000 ",1993-1994,,,,,
Charles Barkley,Phoenix Suns,"$3,250,000 ",1993-1994,,,,,
Charles Oakley,New York Knicks,"$1,950,000 ",1993-1994,,,,,
Charles Smith,New York Knicks,"$2,557,000 ",1993-1994,,,,,
Chris Corchiani,Boston Celtics,"$150,000 ",1993-1994,,,,,
Chris Dudley,Portland Trail Blazers,"$790,000 ",1993-1994,,,,,
Chris Gatling,Golden State Warriors,"$1,120,000 ",1993-1994,,,,,
Chris Mills,Cleveland Cavaliers,"$650,000 ",1993-1994,,,,,
Chris Morris,New Jersey Nets,"$1,785,000 ",1993-1994,,,,,
Chris Mullin,Golden State Warriors,"$2,844,000 ",1993-1994,,,,,
Chris Smith,Minnesota Timberwolves,"$270,000 ",1993-1994,,,,,
Chris Webber,Golden State Warriors,"$1,600,000 ",1993-1994,,,,,
Chris Whitney,San Antonio Spurs,"$150,000 ",1993-1994,,,,,
Christian Leattner,Minnesota Timberwolves,"$2,730,000 ",1993-1994,,,,,
Chuck Person,Minnesota Timberwolves,"$2,156,000 ",1993-1994,,,,,
Clarence Weatherspoon,Philadelphia 76ers,"$1,040,000 ",1993-1994,,,,,
Clifford Robinson,Portland Trail Blazers,"$2,336,000 ",1993-1994,,,,,
Clyde Drexler,Portland Trail Blazers,"$1,578,000 ",1993-1994,,,,,
Corie Blount,Chicago Bulls,"$620,000 ",1993-1994,,,,,
Craig Ehlo,Atlanta Hawks,"$1,200,000 ",1993-1994,,,,,
Dale Davis,Indiana Pacers,"$688,000 ",1993-1994,,,,,
Dale Ellis,San Antonio Spurs,"$1,300,000 ",1993-1994,,,,,
Dan Majerle,Phoenix Suns,"$2,975,000 ",1993-1994,,,,,
Dan Schayes,Milwaukee Bucks,"$1,750,000 ",1993-1994,,,,,
Dana Barros,Philadelphia 76ers,"$750,000 ",1993-1994,,,,,
Danny Ainge,Phoenix Suns,"$1,690,000 ",1993-1994,,,,,
Danny Ferry,Cleveland Cavaliers,"$3,543,000 ",1993-1994,,,,,
Danny Manning,Los Angeles Clippers,"$3,250,000 ",1993-1994,,,,,
Darnell Mee,Denver Nuggets,"$150,000 ",1993-1994,,,,,
Darren Morningstar,Dallas Mavericks,"$43,000 ",1993-1994,,,,,
Dave Jamerson,Houston Rockets,"$780,000 ",1993-1994,,,,,
Dave Johnson,Portland Trail Blazers,"$650,000 ",1993-1994,,,,,
David Benoit,Utah Jazz,"$810,000 ",1993-1994,,,,,
David Robinson,San Antonio Spurs,"$5,740,000 ",1993-1994,,,,,
David Wesley,New Jersey Nets,"$150,000 ",1993-1994,,,,,
David Wingate,Charlotte Hornets,"$570,000 ",1993-1994,,,,,
David Wood,Detroit Pistons,"$488,000 ",1993-1994,,,,,
Dee Brown,Boston Celtics,"$1,025,000 ",1993-1994,,,,,
Dell Curry,Charlotte Hornets,"$1,040,000 ",1993-1994,,,,,
Dennis Rodman,San Antonio Spurs,"$2,450,000 ",1993-1994,,,,,
Dennis Scott,Orlando Magic,"$2,820,000 ",1993-1994,,,,,
Derek Harper,New York Knicks,"$1,927,000 ",1993-1994,,,,,
Derek Strong,Milwaukee Bucks,"$420,000 ",1993-1994,,,,,
Derrick Coleman,New Jersey Nets,"$3,440,000 ",1993-1994,,,,,
Derrick McKey,Indiana Pacers,"$1,262,000 ",1993-1994,,,,,
Detlef Schrempf,Seattle Supersonics,"$1,308,000 ",1993-1994,,,,,
Dikembe Mutombo,Denver Nuggets,"$3,000,000 ",1993-1994,,,,,
Dino Radja,Boston Celtics,"$1,650,000 ",1993-1994,,,,,
Dominque Wilkins,Atlanta Hawks,"$3,500,000 ",1993-1994,,,,,
Don MacLean,Washington Bullets,"$601,000 ",1993-1994,,,,,
Donald Hodge,Dallas Mavericks,"$845,000 ",1993-1994,,,,,
Donald Royal,Orlando Magic,"$890,000 ",1993-1994,,,,,
Doug Christie,Los Angeles Lakers,"$1,445,000 ",1993-1994,,,,,
Doug Edwards,Atlanta Hawks,"$650,000 ",1993-1994,,,,,
Doug Overton,Washington Bullets,"$500,000 ",1993-1994,,,,,
Doug Smith,Dallas Mavericks,"$1,650,000 ",1993-1994,,,,,
Doug West,Minnesota Timberwolves,"$1,275,000 ",1993-1994,,,,,
Duane Causwell,Sacramento Kings,"$1,260,000 ",1993-1994,,,,,
Duane Cooper,Phoenix Suns,"$150,000 ",1993-1994,,,,,
Duane Ferrell,Atlanta Hawks,"$1,025,000 ",1993-1994,,,,,
Dwayne Schintzius,New Jersey Nets,"$921,000 ",1993-1994,,,,,
Earvin Johnson,Los Angeles Lakers,"$2,500,000 ",1993-1994,,,,,
Eddie Johnson,Charlotte Hornets,"$1,150,000 ",1993-1994,,,,,
Eddie Wilkins,Philadelphia 76ers,"$100,000 ",1993-1994,,,,,
Edward Pickney,Boston Celtics,"$1,470,000 ",1993-1994,,,,,
Elden Campbell,Los Angeles Lakers,"$1,700,000 ",1993-1994,,,,,
Elliot Perry,Portland Trail Blazers,"$150,000 ",1993-1994,,,,,
Elmore Spencer,Los Angeles Clippers,"$569,000 ",1993-1994,,,,,
Ennis Whatley,Atlanta Hawks,"$150,000 ",1993-1994,,,,,
Eric Anderson,New York Knicks,"$250,000 ",1993-1994,,,,,
Eric Floyd,Houston Rockets,"$1,700,000 ",1993-1994,,,,,
Eric Floyd,San Antonio Spurs,"$150,000 ",1993-1994,,,,,
Eric Leckner,Philadelphia 76ers,"$300,000 ",1993-1994,,,,,
Eric Murdock,Milwaukee Bucks,"$800,000 ",1993-1994,,,,,
Eric Riley,Houston Rockets,"$150,000 ",1993-1994,,,,,
Ervin Johnson,Seattle Supersonics,"$617,000 ",1993-1994,,,,,
Evers Burns,Sacramento Kings,"$1,616,000 ",1993-1994,,,,,
Felton Spencer,Utah Jazz,"$1,581,000 ",1993-1994,,,,,
Frank Brickowski,Milwaukee Bucks,"$1,850,000 ",1993-1994,,,,,
Frank Johnson,Phoenix Suns,"$500,000 ",1993-1994,,,,,
Gary Grant,Los Angeles Clippers,"$1,128,000 ",1993-1994,,,,,
Gary Payton,Seattle Supersonics,"$2,383,000 ",1993-1994,,,,,
George Lynch,Los Angeles Lakers,"$1,100,000 ",1993-1994,,,,,
Gerald Madkins,Cleveland Cavaliers,"$475,000 ",1993-1994,,,,,
Gerald Wilkins,Cleveland Cavaliers,"$2,278,000 ",1993-1994,,,,,
Gheorghe Muresan,Washington Bullets,"$500,000 ",1993-1994,,,,,
Glen Rice,Miami Heat,"$2,002,000 ",1993-1994,,,,,
Glen Rivers,New York Knicks,"$1,110,000 ",1993-1994,,,,,
Grant Long,Miami Heat,"$1,410,000 ",1993-1994,,,,,
Greg Anderson,Detroit Pistons,"$650,000 ",1993-1994,,,,,
Greg Anthony,New York Knicks,"$1,269,000 ",1993-1994,,,,,
Greg Dreiling,Dallas Mavericks,"$300,000 ",1993-1994,,,,,
Greg Foster,Atlanta Hawks,"$250,000 ",1993-1994,,,,,
Greg Graham,Philadelphia 76ers,"$700,000 ",1993-1994,,,,,
Greg Kite,Orlando Magic,"$985,000 ",1993-1994,,,,,
Gundars Vetra,Minnesota Timberwolves,"$300,000 ",1993-1994,,,,,
Hakeem Olajuwon,Houston Rockets,"$3,170,000 ",1993-1994,,,,,
Harold Miner,Miami Heat,"$1,186,000 ",1993-1994,,,,,
Harvey Grant,Portland Trail Blazers,"$2,429,000 ",1993-1994,,,,,
Haywoode Workman,Indiana Pacers,"$320,000 ",1993-1994,,,,,
Henry James,Los Angeles Clippers,"$150,000 ",1993-1994,,,,,
Herb Williams,New York Knicks,"$1,600,000 ",1993-1994,,,,,
Hersey Hawkins,Charlotte Hornets,"$2,400,000 ",1993-1994,,,,,
Horace Grant,Chicago Bulls,"$1,950,000 ",1993-1994,,,,,
Hubert Davis,New York Knicks,"$764,000 ",1993-1994,,,,,
Isaac Austin,Utah Jazz,"$450,000 ",1993-1994,,,,,
Isaiah Rider,Minnesota Timberwolves,"$2,000,000 ",1993-1994,,,,,
Isiah Thomas,Detroit Pistons,"$2,520,000 ",1993-1994,,,,,
J.R. Reid,San Antonio Spurs,"$1,818,000 ",1993-1994,,,,,
Jack Haley,Los Angeles Lakers,"$390,000 ",1993-1994,,,,,
Jamal Mashburn,Dallas Mavericks,"$2,033,000 ",1993-1994,,,,,
James Edards,Los Angeles Lakers,"$1,300,000 ",1993-1994,,,,,
James Robinson,Portland Trail Blazers,"$650,000 ",1993-1994,,,,,
James Worthy,Los Angeles Lakers,"$1,800,000 ",1993-1994,,,,,
Jay Guidinger,Cleveland Cavaliers,"$250,000 ",1993-1994,,,,,
Jay Humphries,Utah Jazz,"$1,800,000 ",1993-1994,,,,,
Jayson Williams,New Jersey Nets,"$950,000 ",1993-1994,,,,,
Jeff Grayer,Golden State Warriors,"$715,000 ",1993-1994,,,,,
Jeff Hornacek,Philadelphia 76ers,"$1,946,000 ",1993-1994,,,,,
Jeff Malone,Utah Jazz,"$2,380,000 ",1993-1994,,,,,
Jerome Kersey,Portland Trail Blazers,"$2,940,000 ",1993-1994,,,,,
Jerrod Mustaf,Phoenix Suns,"$1,073,000 ",1993-1994,,,,,
Jerry Reynolds,Orlando Magic,"$1,288,000 ",1993-1994,,,,,
Jim Jackson,Dallas Mavericks,"$2,000,000 ",1993-1994,,,,,
Jim Les,Sacramento Kings,"$363,000 ",1993-1994,,,,,
Jim Petersen,Golden State Warriors,"$1,521,000 ",1993-1994,,,,,
Joe Courtney,Phoenix Suns,"$150,000 ",1993-1994,,,,,
Joe Dumars,Detroit Pistons,"$1,280,000 ",1993-1994,,,,,
Joe Kleine,Phoenix Suns,"$650,000 ",1993-1994,,,,,
John Bagley,Boston Celtics,"$600,000 ",1993-1994,,,,,
John Battle,Cleveland Cavaliers,"$1,120,000 ",1993-1994,,,,,
John Crotty,Utah Jazz,"$200,000 ",1993-1994,,,,,
John Paxson,Chicago Bulls,"$800,000 ",1993-1994,,,,,
John Salley,Miami Heat,"$2,452,000 ",1993-1994,,,,,
John Starks,New York Knicks,"$1,112,000 ",1993-1994,,,,,
John Stockton,Utah Jazz,"$2,400,000 ",1993-1994,,,,,
John Williams,Cleveland Cavaliers,"$3,786,000 ",1993-1994,,,,,
John Williams,Los Angeles Clippers,"$1,100,000 ",1993-1994,,,,,
Johnny Dawkins,Philadelphia 76ers,"$2,100,000 ",1993-1994,,,,,
Johnny Newman,New Jersey Nets,"$1,435,000 ",1993-1994,,,,,
Jon Barry,Milwaukee Bucks,"$650,000 ",1993-1994,,,,,
Jon Koncak,Atlanta Hawks,"$2,900,000 ",1993-1994,,,,,
Josh Grant,Golden State Warriors,"$150,000 ",1993-1994,,,,,
Jud Buechler,Golden State Warriors,"$375,000 ",1993-1994,,,,,
Karl Malone,Utah Jazz,"$3,081,000 ",1993-1994,,,,,
Keith Askins,Miami Heat,"$313,000 ",1993-1994,,,,,
Keith Jennings,Golden State Warriors,"$250,000 ",1993-1994,,,,,
Ken Norman,Los Angeles Clippers,"$1,275,000 ",1993-1994,,,,,
Ken Norman,Milwaukee Bucks,"$1,510,000 ",1993-1994,,,,,
Ken Williams,Indiana Pacers,"$375,000 ",1993-1994,,,,,
Kendall Gill,Seattle Supersonics,"$2,000,000 ",1993-1994,,,,,
Kenny Anderson,New Jersey Nets,"$2,925,000 ",1993-1994,,,,,
Kenny Gattison,Charlotte Hornets,"$1,250,000 ",1993-1994,,,,,
Kenny Smith,Houston Rockets,"$2,150,000 ",1993-1994,,,,,
Kenny Walker,Washington Bullets,"$400,000 ",1993-1994,,,,,
Kevin Brooks,Denver Nuggets,"$975,000 ",1993-1994,,,,,
Kevin Duckworth,Washington Bullets,"$2,313,000 ",1993-1994,,,,,
Kevin Edwards,New Jersey Nets,"$1,200,000 ",1993-1994,,,,,
Kevin Gamble,Boston Celtics,"$1,100,000 ",1993-1994,,,,,
Kevin Johnson,Phoenix Suns,"$2,300,000 ",1993-1994,,,,,
Kevin Lynch,Charlotte Hornets,"$325,000 ",1993-1994,,,,,
Kevin Thompson,Portland Trail Blazers,"$150,000 ",1993-1994,,,,,
Kevin Willis,Atlanta Hawks,"$2,625,000 ",1993-1994,,,,,
Kiki Vandeweghe,Los Angeles Clippers,"$150,000 ",1993-1994,,,,,
Kurt Rambis,Los Angeles Lakers,"$400,000 ",1993-1994,,,,,
Kurt Rambis,Sacramento Kings,"$180,000 ",1993-1994,,,,,
LaBradford Smith,Washington Bullets,"$940,000 ",1993-1994,,,,,
Lafayette Lever,Dallas Mavericks,"$2,203,000 ",1993-1994,,,,,
LaPhonso Ellis,Denver Nuggets,"$2,350,000 ",1993-1994,,,,,
Larry Johnson,Charlotte Hornets,"$3,125,000 ",1993-1994,,,,,
Larry Krystkowiak,Orlando Magic,"$644,000 ",1993-1994,,,,,
Larry Nance,Cleveland Cavaliers,"$2,840,000 ",1993-1994,,,,,
Larry Stewart,Washington Bullets,"$600,000 ",1993-1994,,,,,
LaSalle Thompson,Indiana Pacers,"$2,000,000 ",1993-1994,,,,,
Latrell Sprewell,Golden State Warriors,"$700,000 ",1993-1994,,,,,
Lee Mayberry,Milwaukee Bucks,"$670,000 ",1993-1994,,,,,
LeRon Ellis,Charlotte Hornets,"$150,000 ",1993-1994,,,,,
Les Jepsen,Sacramento Kings,"$504,000 ",1993-1994,,,,,
Lester Conner,Orlando Magic,"$25,000 ",1993-1994,,,,,
Lindsey Hunter,Detroit Pistons,"$902,000 ",1993-1994,,,,,
Lionel Simmons,Sacramento Kings,"$1,743,000 ",1993-1994,,,,,
Litterial Green,Orlando Magic,"$250,000 ",1993-1994,,,,,
Lloyd Daniels,San Antonio Spurs,"$182,000 ",1993-1994,,,,,
Lorenzo Williams,Boston Celtics,"$250,000 ",1993-1994,,,,,
Loy Vaught,Los Angeles Clippers,"$1,225,000 ",1993-1994,,,,,
Luc Longley,Minnesota Timberwolves,"$1,590,000 ",1993-1994,,,,,
Lucious Harris,Dallas Mavericks,"$350,000 ",1993-1994,,,,,
Luther Wright,Utah Jazz,"$650,000 ",1993-1994,,,,,
Mahmoud Abdul-Rauf,Denver Nuggets,"$1,825,000 ",1993-1994,,,,,
Malcom Mackey,Phoenix Suns,"$550,000 ",1993-1994,,,,,
Malik Sealy,Indiana Pacers,"$1,023,000 ",1993-1994,,,,,
Malron Maxey,Minnesota Timberwolves,"$375,000 ",1993-1994,,,,,
Manute Bol,Miami Heat,"$650,000 ",1993-1994,,,,,
Marcus Liberty,Detroit Pistons,"$650,000 ",1993-1994,,,,,
Mario Elie,Houston Rockets,"$790,000 ",1993-1994,,,,,
Mark Aguirre,Detroit Pistons,"$1,471,000 ",1993-1994,,,,,
Mark Aguirre,Los Angeles Clippers,"$150,000 ",1993-1994,,,,,
Mark Bryant,Portland Trail Blazers,"$1,300,000 ",1993-1994,,,,,
Mark Eaton,Utah Jazz,"$1,333,000 ",1993-1994,,,,,
Mark Jackson,Los Angeles Clippers,"$2,000,000 ",1993-1994,,,,,
Mark Macon,Detroit Pistons,"$1,498,000 ",1993-1994,,,,,
Mark Price,Cleveland Cavaliers,"$2,850,000 ",1993-1994,,,,,
Mark Randell,Denver Nuggets,"$1,200,000 ",1993-1994,,,,,
Mark West,Phoenix Suns,"$1,000,000 ",1993-1994,,,,,
Marty Conion,Sacramento Kings,"$250,000 ",1993-1994,,,,,
Matt Bullard,Houston Rockets,"$650,000 ",1993-1994,,,,,
Matt Geiger,Miami Heat,"$250,000 ",1993-1994,,,,,
Matt Wenstrom,Boston Celtics,"$150,000 ",1993-1994,,,,,
Michael Adams,Washington Bullets,"$1,309,000 ",1993-1994,,,,,
Michael Cage,Seattle Supersonics,"$1,502,000 ",1993-1994,,,,,
Michael Curry,Philadelphia 76ers,"$150,000 ",1993-1994,,,,,
Michael Jordan,Chicago Bulls,"$4,000,000 ",1993-1994,,,,,
Micheal Williams,Minnesota Timberwolves,"$2,075,000 ",1993-1994,,,,,
Mike Brown,Minnesota Timberwolves,"$1,375,000 ",1993-1994,,,,,
Mike Gminski,Charlotte Hornets,"$1,850,000 ",1993-1994,,,,,
Mike Peplowski,Sacramento Kings,"$150,000 ",1993-1994,,,,,
Mitch Richmond,Sacramento Kings,"$2,500,000 ",1993-1994,,,,,
Mitchell Butler,Washington Bullets,"$150,000 ",1993-1994,,,,,
Mookie Blaylock,Atlanta Hawks,"$1,630,000 ",1993-1994,,,,,
Moses Malone,Philadelphia 76ers,"$1,200,000 ",1993-1994,,,,,
Nate McMillan,Seattle Supersonics,"$850,000 ",1993-1994,,,,,
Negele Knight,San Antonio Spurs,"$496,000 ",1993-1994,,,,,
Nick Anderson,Orlando Magic,"$2,670,000 ",1993-1994,,,,,
Nick Van,Los Angeles Lakers,"$1,100,000 ",1993-1994,,,,,
Olden Polynice,Detroit Pistons,"$850,000 ",1993-1994,,,,,
Oliver Miller,Phoenix Suns,"$672,000 ",1993-1994,,,,,
Orlando Woolridge,Milwaukee Bucks,"$1,542,000 ",1993-1994,,,,,
Orlando Woolridge,Philadelphia 76ers,"$150,000 ",1993-1994,,,,,
Otis Thorpe,Houston Rockets,"$2,418,000 ",1993-1994,,,,,
P.J. Brown,New Jersey Nets,"$600,000 ",1993-1994,,,,,
Patrick Ewing,New York Knicks,"$3,825,000 ",1993-1994,,,,,
Paul Graham,Atlanta Hawks,"$600,000 ",1993-1994,,,,,
Pervis Ellison,Washington Bullets,"$2,300,000 ",1993-1994,,,,,
Pete Chilcutt,Sacramento Kings,"$760,000 ",1993-1994,,,,,
Pete Myers,Chicago Bulls,"$150,000 ",1993-1994,,,,,
Pooh Richardson,Indiana Pacers,"$1,694,000 ",1993-1994,,,,,
Popeye Jones,Dallas Mavericks,"$275,000 ",1993-1994,,,,,
Randy Beuer,Sacramento Kings,"$150,000 ",1993-1994,,,,,
Randy Brown,Sacramento Kings,"$597,000 ",1993-1994,,,,,
Randy White,Dallas Mavericks,"$922,000 ",1993-1994,,,,,
Randy Woods,Los Angeles Clippers,"$650,000 ",1993-1994,,,,,
Reggie Miller,Indiana Pacers,"$3,011,000 ",1993-1994,,,,,
Reggie Smith,Portland Trail Blazers,"$358,000 ",1993-1994,,,,,
Reggie Williams,Denver Nuggets,"$1,258,000 ",1993-1994,,,,,
Rex Chapman,Washington Bullets,"$2,004,000 ",1993-1994,,,,,
Rex Walters,New Jersey Nets,"$650,000 ",1993-1994,,,,,
Rich King,Seattle Supersonics,"$700,000 ",1993-1994,,,,,
Richard Dumas,Phoenix Suns,"$1,300,000 ",1993-1994,,,,,
Richard Petruski,Houston Rockets,"$150,000 ",1993-1994,,,,,
Rick Fox,Boston Celtics,"$755,000 ",1993-1994,,,,,
Rick Mahorn,New Jersey Nets,"$650,000 ",1993-1994,,,,,
Ricky Pierce,Seattle Supersonics,"$2,100,000 ",1993-1994,,,,,
Rik Smits,Indiana Pacers,"$2,500,000 ",1993-1994,,,,,
