date,player,season,pst_team,notes,new_contract_source,pst_contract_value_millions,contract_term,contract_start_season,contract_end_season,contract_option,year
11/29/76,Reggie Jackson,1977,Yankees,signed free agent to a 5-year contract,free agency,0,5,1977,1982,,1976
11/18/77,Terry Forster,1978,Dodgers,signed free agent (from Pirates) to a 5-year contract,free agency,0,5,1978,1983,,1977
9/5/78,Rick Dempsey,1978,Orioles,re-signed to a 5-year contract,re-signinging,0,5,1978,1983,,1978
2/8/79,Rod Carew,1979,Angels,re-signed to a 5-year contract,re-signinging,0,5,1979,1984,,1979
4/12/79,John Stearns,1979,Mets,signed to a 5-year contract,free agency,0,5,1979,1984,,1979
11/17/79,Don Stanhouse,1980,Dodgers,signed free agent (from Orioles) to a 5-year contract (date 11-19 per AP),free agency,0,5,1980,1985,,1979
11/19/79,Rick Wise,1980,Padres,signed free agent (from Indians) to a 5-year contract,free agency,0,5,1980,1985,,1979
11/20/79,Al Hrabosky,1980,Braves,signed free agent (from Royals) to a 5-year contract,free agency,0,5,1980,1985,,1979
11/26/79,John Curtis,1980,Padres,signed free agent to a 5-year contract,free agency,0,5,1980,1985,,1979
3/15/80,Craig Swan,1980,Mets,signed to a 5-year contract,free agency,0,5,1980,1985,,1980
12/10/80,Dave Roberts,1981,Astros,"signed free agent to a 5-year, $1.3M contract",free agency,1.3,5,1981,1986,,1980
12/15/80,Dave Winfield,1981,Yankees,signed free agent (from Padres) to a 10-year contract,free agency,0,10,1981,1991,,1980
12/21/80,Rich Dauer,1981,Orioles,re-signed to a 5-year contract,re-signinging,0,5,1981,1986,,1980
1/15/81,Tippy Martinez,1981,Orioles,re-signed to a 5-year contract,re-signinging,0,5,1981,1986,,1981
3/16/81,Doug Flynn,1981,Mets,"signed to a 5-year, $2M contract",free agency,2,5,1981,1986,,1981
12/10/81,Jerry Remy,1982,Red Sox,"re-signed to a 5-year, $2.8M contract",re-signinging,2.8,5,1982,1987,,1981
12/21/81,Mike Schmidt,1982,Phillies,"re-signed to a 6-year, estimated $1.2M/year contract",re-signinging,1.2,6,1982,1988,,1981
2/18/82,Bill Buckner,1982,Cubs,"re-signed to a 5-year, $2.6M contract",re-signinging,2.6,5,1982,1987,,1982
12/10/82,Omar Moreno,1983,Astros,"signed free agent (from Pirates) to a 5-year, $3.25M contract",free agency,3.25,5,1983,1988,,1982
12/10/82,Greg Minton,1983,Giants,signed to a 5-year contract,free agency,0,5,1983,1988,,1982
1/29/83,Ron Cey,1983,Cubs,"signed to a 5-year, $950K/year contract (date approximate)",free agency,0,5,1983,1988,,1983
12/7/83,Alfredo Griffin,1984,Blue Jays,re-signed to a 5-year contract,re-signinging,0,5,1984,1989,,1983
12/20/83,Lloyd Moseby,1984,Blue Jays,re-signed to a 5-year contract,re-signinging,0,5,1984,1989,,1983
1/24/84,Reid Nichols,1984,Red Sox,re-signed to a 5-year contract,re-signinging,0,5,1984,1989,,1984
1/27/84,Johnny Ray,1984,Pirates,signed to a 5-year contract,free agency,0,5,1984,1989,,1984
2/1/84,Ryne Sandberg,1984,Cubs,signed to a 6-year contract through 1989,free agency,0,6,1984,1989,,1984
2/6/84,Lee Smith,1984,Cubs,re-signed to a 5-year contract,re-signinging,0,5,1984,1989,,1984
2/10/84,Keith Hernandez,1984,Mets,"signed to a 5-year, $8.4M contract extension",free agency,8.4,5,1984,1989,,1984
2/14/84,Damaso Garcia,1984,Blue Jays,re-signed to a 5-year contract,re-signinging,0,5,1984,1989,,1984
2/14/84,Willie Upshaw,1984,Blue Jays,re-signed to a 5-year contract,re-signinging,0,5,1984,1989,,1984
12/7/84,Bruce Sutter,1985,Braves,"signed to a 6-year, $10M contract",free agency,10,6,1985,1991,,1984
12/7/84,Steve Trout,1985,Cubs,"signed to a 5-year, reported $4.5M contract",free agency,4.5,5,1985,1990,,1984
